c host: c3n31
c start: Fri Oct 18 21:58:15 CEST 2019
c arrayjobid: 17567257
c jobid: 17567657
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p091.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567657.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 15288)
@     0s  (started worker 1 with pid 15289)
@     0s  (started worker 2 with pid 15290)
@     0s  (started worker 3 with pid 15291)
@     0s  (started worker 4 with pid 15292)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 15408)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 450 MB)
@     2s  (started worker 6 with pid 15464)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 700 MB)
@     3s  (started worker 7 with pid 15526)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 938 MB)
@     4s  (started worker 8 with pid 15594)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1169 MB)
@     5s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@     5s  (started worker 9 with pid 15687)
@     5s  (spawned 1 workers)
@     5s  (total 9 workers using 1293 MB)
@     6s  (started worker 10 with pid 15761)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 1531 MB)
@    15s  (total 10 workers using 3009 MB)
@    26s  (total 10 workers using 4590 MB)
@    38s  (total 10 workers using 6038 MB)
@    49s  (total 10 workers using 7031 MB)
@    60s  (total 10 workers using 7535 MB)
@    72s  (total 10 workers using 8611 MB)
@    83s  (total 10 workers using 9358 MB)
@    94s  (total 10 workers using 10677 MB)
@   105s  (total 10 workers using 10977 MB)
@   116s  (total 10 workers using 12237 MB)
@   127s  (total 10 workers using 12893 MB)
@   138s  (total 10 workers using 13260 MB)
@   148s  (total 10 workers using 13888 MB)
@   160s  (total 10 workers using 13560 MB)
@   170s  (total 10 workers using 13729 MB)
@   182s  (total 10 workers using 14790 MB)
@   192s  (total 10 workers using 14180 MB)
@   204s  (total 10 workers using 14972 MB)
@   214s  (total 10 workers using 16367 MB)
@   226s  (total 10 workers using 16142 MB)
@   236s  (total 10 workers using 16982 MB)
@   248s  (total 10 workers using 17722 MB)
@   258s  (total 10 workers using 17457 MB)
@   269s  (total 10 workers using 19241 MB)
