c host: c3n08
c start: Fri Oct 18 21:42:53 CEST 2019
c arrayjobid: 17567257
c jobid: 17567638
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p078.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567638.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 19206)
@     0s  (started worker 1 with pid 19207)
@     0s  (started worker 2 with pid 19208)
@     0s  (started worker 3 with pid 19209)
@     0s  (started worker 4 with pid 19210)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 19327)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 383 MB)
@     2s  (started worker 6 with pid 19383)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 650 MB)
@     3s  (started worker 7 with pid 19445)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 942 MB)
@     4s  (started worker 8 with pid 19511)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1208 MB)
@     5s  (started worker 9 with pid 19603)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1479 MB)
@     7s  (started worker 10 with pid 19683)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1607 MB)
@    15s  (total 11 workers using 2373 MB)
@    27s  (total 11 workers using 2543 MB)
@    39s  (total 11 workers using 2711 MB)
@    50s  (total 11 workers using 2853 MB)
@    61s  (total 11 workers using 3058 MB)
@    73s  (total 11 workers using 3292 MB)
@    84s  (total 11 workers using 3391 MB)
@    95s  (total 11 workers using 3660 MB)
@   106s  (total 11 workers using 3865 MB)
@   117s  (total 11 workers using 4052 MB)
@   128s  (total 11 workers using 4250 MB)
@   139s  (total 11 workers using 4272 MB)
@   150s  (total 11 workers using 4390 MB)
@   161s  (total 11 workers using 4559 MB)
@   172s  (total 11 workers using 4786 MB)
@   183s  (total 11 workers using 4820 MB)
@   194s  (total 11 workers using 5013 MB)
@   206s  (total 11 workers using 5139 MB)
@   216s  (total 11 workers using 5286 MB)
@   228s  (total 11 workers using 5501 MB)
@   239s  (total 11 workers using 5544 MB)
@   250s  (total 11 workers using 5592 MB)
@   261s  (total 11 workers using 5741 MB)
@   272s  (total 11 workers using 5860 MB)
@   283s  (total 11 workers using 5985 MB)
@   294s  (total 11 workers using 6156 MB)
