c host: c3n19
c start: Fri Oct 18 21:42:20 CEST 2019
c arrayjobid: 17567257
c jobid: 17567635
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p145.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567635.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 1708)
@     0s  (started worker 1 with pid 1709)
@     0s  (started worker 2 with pid 1710)
@     0s  (started worker 3 with pid 1711)
@     0s  (started worker 4 with pid 1712)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 1831)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 441 MB)
@     2s  (started worker 6 with pid 1887)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 691 MB)
@     3s  (started worker 7 with pid 1952)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 899 MB)
@     4s  (started worker 8 with pid 2020)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1044 MB)
@     5s  (started worker 9 with pid 2115)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1281 MB)
@     7s  (started worker 10 with pid 2197)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1530 MB)
@    15s  (total 11 workers using 2208 MB)
@    27s  (total 11 workers using 2741 MB)
@    39s  (total 11 workers using 3326 MB)
@    50s  (total 11 workers using 3829 MB)
@    61s  (total 11 workers using 4263 MB)
@    73s  (total 11 workers using 4722 MB)
@    84s  (total 11 workers using 4983 MB)
@    95s  (total 11 workers using 5362 MB)
@   106s  (total 11 workers using 5735 MB)
@   117s  (total 11 workers using 6044 MB)
@   128s  (total 11 workers using 6463 MB)
@   139s  (total 11 workers using 6855 MB)
@   150s  (total 11 workers using 7119 MB)
@   161s  (total 11 workers using 7362 MB)
@   172s  (total 11 workers using 7576 MB)
@   183s  (total 11 workers using 7703 MB)
@   194s  (total 11 workers using 8044 MB)
@   205s  (total 11 workers using 8250 MB)
@   216s  (total 11 workers using 8552 MB)
@   227s  (total 11 workers using 8785 MB)
@   238s  (total 11 workers using 9084 MB)
@   250s  (total 11 workers using 9373 MB)
@   260s  (total 11 workers using 9597 MB)
@   272s  (total 11 workers using 9776 MB)
@   283s  (total 11 workers using 10234 MB)
@   294s  (total 11 workers using 10244 MB)
