c host: c3n12
c start: Fri Oct 18 23:13:44 CEST 2019
c arrayjobid: 17567257
c jobid: 17567727
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r0-p064.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567727.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 12963)
@     0s  (started worker 1 with pid 12964)
@     0s  (started worker 2 with pid 12965)
@     0s  (started worker 3 with pid 12966)
@     0s  (started worker 4 with pid 12967)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 13083)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 360 MB)
@     2s  (started worker 6 with pid 13137)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 587 MB)
@     3s  (started worker 7 with pid 13199)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 821 MB)
@     4s  (started worker 8 with pid 13267)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1094 MB)
@     5s  (started worker 9 with pid 13359)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1374 MB)
@     7s  (started worker 10 with pid 13440)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1546 MB)
@    15s  (total 11 workers using 3007 MB)
@    27s  (total 11 workers using 4288 MB)
@    39s  (total 11 workers using 5337 MB)
@    50s  (total 11 workers using 6748 MB)
@    61s  (total 11 workers using 7769 MB)
@    72s  (total 11 workers using 7744 MB)
@    83s  (total 11 workers using 8391 MB)
@    94s  (total 11 workers using 9133 MB)
@   105s  (total 11 workers using 9895 MB)
@   117s  (total 11 workers using 11032 MB)
@   128s  (total 11 workers using 11869 MB)
@   139s  (total 11 workers using 12806 MB)
@   150s  (total 11 workers using 13042 MB)
@   161s  (total 11 workers using 12960 MB)
@   172s  (total 11 workers using 13900 MB)
@   183s  (total 11 workers using 14487 MB)
@   194s  (total 11 workers using 13657 MB)
@   205s  (total 11 workers using 14368 MB)
@   216s  (total 11 workers using 14162 MB)
@   228s  (total 11 workers using 15305 MB)
@   239s  (total 11 workers using 14756 MB)
@   250s  (total 11 workers using 15634 MB)
@   261s  (total 11 workers using 15750 MB)
@   272s  (total 11 workers using 16072 MB)
@   283s  (total 11 workers using 17248 MB)
@   294s  (total 11 workers using 18121 MB)
