c host: c3n05
c start: Fri Oct 18 21:55:22 CEST 2019
c arrayjobid: 17567257
c jobid: 17567653
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r0-p021.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567653.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 1866)
@     0s  (started worker 1 with pid 1867)
@     0s  (started worker 2 with pid 1868)
@     0s  (started worker 3 with pid 1869)
@     0s  (started worker 4 with pid 1870)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 1988)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 365 MB)
@     2s  (started worker 6 with pid 2044)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 648 MB)
@     3s  (started worker 7 with pid 2106)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 871 MB)
@     4s  (started worker 8 with pid 2179)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1080 MB)
@     5s  (started worker 9 with pid 2274)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1205 MB)
@     6s  (started worker 10 with pid 2357)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 1345 MB)
@    15s  (total 11 workers using 2258 MB)
@    27s  (total 11 workers using 2397 MB)
@    39s  (total 11 workers using 2666 MB)
@    50s  (total 11 workers using 2813 MB)
@    61s  (total 11 workers using 3066 MB)
@    73s  (total 11 workers using 3137 MB)
@    84s  (total 11 workers using 3311 MB)
@    95s  (total 11 workers using 3448 MB)
@   106s  (total 11 workers using 3564 MB)
@   117s  (total 11 workers using 3731 MB)
@   128s  (total 11 workers using 3745 MB)
@   139s  (total 11 workers using 3876 MB)
@   150s  (total 11 workers using 3932 MB)
@   161s  (total 11 workers using 4000 MB)
@   172s  (total 11 workers using 4110 MB)
@   184s  (total 11 workers using 4171 MB)
@   195s  (total 11 workers using 4286 MB)
@   206s  (total 11 workers using 4395 MB)
@   217s  (total 11 workers using 4441 MB)
@   228s  (total 11 workers using 4461 MB)
@   239s  (total 11 workers using 4515 MB)
@   250s  (total 11 workers using 4770 MB)
@   261s  (total 11 workers using 4809 MB)
@   273s  (total 11 workers using 4939 MB)
@   284s  (total 11 workers using 4985 MB)
@   295s  (total 11 workers using 5008 MB)
