c host: c3n06
c start: Fri Oct 18 21:39:51 CEST 2019
c arrayjobid: 17567257
c jobid: 17567627
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p126.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567627.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 18659)
@     0s  (started worker 1 with pid 18660)
@     0s  (started worker 2 with pid 18661)
@     0s  (started worker 3 with pid 18662)
@     0s  (started worker 4 with pid 18663)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 18779)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 401 MB)
@     2s  (started worker 6 with pid 18835)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 674 MB)
@     3s  (started worker 7 with pid 18897)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 962 MB)
@     4s  (started worker 8 with pid 18965)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1256 MB)
@     5s  (started worker 9 with pid 19057)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1524 MB)
@     7s  (started worker 10 with pid 19139)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1763 MB)
@    15s  (total 11 workers using 2528 MB)
@    27s  (total 11 workers using 2923 MB)
@    39s  (total 11 workers using 3154 MB)
@    50s  (total 11 workers using 3225 MB)
@    61s  (total 11 workers using 3483 MB)
@    73s  (total 11 workers using 3656 MB)
@    84s  (total 11 workers using 3765 MB)
@    95s  (total 11 workers using 3885 MB)
@   106s  (total 11 workers using 4022 MB)
@   117s  (total 11 workers using 4196 MB)
@   128s  (total 11 workers using 4296 MB)
@   139s  (total 11 workers using 4437 MB)
@   150s  (total 11 workers using 4604 MB)
@   161s  (total 11 workers using 4672 MB)
@   172s  (total 11 workers using 4851 MB)
@   183s  (total 11 workers using 4927 MB)
@   194s  (total 11 workers using 5045 MB)
@   205s  (total 11 workers using 5128 MB)
@   216s  (total 11 workers using 5275 MB)
@   227s  (total 11 workers using 5403 MB)
@   238s  (total 11 workers using 5557 MB)
@   249s  (total 11 workers using 5691 MB)
@   260s  (total 11 workers using 5828 MB)
@   272s  (total 11 workers using 5819 MB)
@   283s  (total 11 workers using 5958 MB)
@   294s  (total 11 workers using 6194 MB)
