c host: c3n20
c start: Fri Oct 18 22:25:50 CEST 2019
c arrayjobid: 17567257
c jobid: 17567675
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p015.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567675.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 22909)
@     0s  (started worker 1 with pid 22910)
@     0s  (started worker 2 with pid 22911)
@     0s  (started worker 3 with pid 22912)
@     0s  (started worker 4 with pid 22913)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 23029)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 404 MB)
@     2s  (started worker 6 with pid 23085)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 638 MB)
@     3s  (started worker 7 with pid 23147)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 888 MB)
@     4s  (started worker 8 with pid 23215)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1082 MB)
@     5s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@     5s  (started worker 9 with pid 23308)
@     5s  (spawned 1 workers)
@     5s  (total 9 workers using 1161 MB)
@     6s  (started worker 10 with pid 23382)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 1302 MB)
@    15s  (total 10 workers using 2656 MB)
@    26s  (total 10 workers using 3969 MB)
@    38s  (total 10 workers using 5139 MB)
@    49s  (total 10 workers using 5885 MB)
@    60s  (total 10 workers using 6051 MB)
@    72s  (total 10 workers using 7054 MB)
@    82s  (total 10 workers using 7438 MB)
@    93s  (total 10 workers using 7839 MB)
@   104s  (total 10 workers using 9166 MB)
@   115s  (total 10 workers using 9684 MB)
@   126s  (total 10 workers using 10250 MB)
@   137s  (total 10 workers using 9839 MB)
@   148s  (total 10 workers using 10756 MB)
@   159s  (total 10 workers using 11692 MB)
@   170s  (total 10 workers using 11771 MB)
@   181s  (total 10 workers using 11478 MB)
@   192s  (total 10 workers using 11760 MB)
@   203s  (total 10 workers using 11854 MB)
@   214s  (total 10 workers using 12817 MB)
@   225s  (total 10 workers using 13682 MB)
@   236s  (total 10 workers using 13747 MB)
@   247s  (total 10 workers using 14054 MB)
@   258s  (total 10 workers using 13630 MB)
@   269s  (total 10 workers using 15192 MB)
