c host: c3n17
c start: Fri Oct 18 22:51:33 CEST 2019
c arrayjobid: 17567257
c jobid: 17567712
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p049.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567712.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 29611)
@     0s  (started worker 1 with pid 29612)
@     0s  (started worker 2 with pid 29613)
@     0s  (started worker 3 with pid 29614)
@     0s  (started worker 4 with pid 29615)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 29731)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 392 MB)
@     1s  (worker 5 finished with result unknown) python3 avr.py -b bin_bt_cadical -g 3 -l 0 -a sa32
@     2s  (started worker 6 with pid 29788)
@     2s  (spawned 1 workers)
@     2s  (total 6 workers using 584 MB)
@     3s  (started worker 7 with pid 29844)
@     3s  (spawned 1 workers)
@     3s  (total 7 workers using 799 MB)
@     4s  (started worker 8 with pid 29906)
@     4s  (spawned 1 workers)
@     4s  (total 8 workers using 1013 MB)
@     4s  (worker 8 finished with result unknown) python3 avr.py -l 5 -g 3 -a sa8 --interpol 1 -f 1
@     5s  (started worker 9 with pid 29989)
@     5s  (spawned 1 workers)
@     5s  (total 8 workers using 1190 MB)
@     5s  (worker 9 finished with result unknown) python3 avr.py -b bin_y2 -s -a sa4 --interpol 1 -f 1
@     6s  (started worker 10 with pid 30058)
@     6s  (spawned 1 workers)
@     6s  (total 8 workers using 1266 MB)
@    14s  (total 8 workers using 1982 MB)
@    25s  (total 8 workers using 2180 MB)
@    36s  (total 8 workers using 2476 MB)
@    47s  (total 8 workers using 2530 MB)
@    58s  (total 8 workers using 2600 MB)
@    69s  (total 8 workers using 2776 MB)
@    80s  (total 8 workers using 2849 MB)
@    91s  (total 8 workers using 3050 MB)
@   101s  (total 8 workers using 3201 MB)
@   112s  (total 8 workers using 3304 MB)
@   123s  (total 8 workers using 3408 MB)
@   134s  (total 8 workers using 3482 MB)
@   144s  (total 8 workers using 3530 MB)
@   155s  (total 8 workers using 3599 MB)
@   166s  (total 8 workers using 3672 MB)
@   176s  (total 8 workers using 3716 MB)
@   187s  (total 8 workers using 3794 MB)
@   198s  (total 8 workers using 3847 MB)
