c host: c3n24
c start: Fri Oct 18 22:01:31 CEST 2019
c arrayjobid: 17567257
c jobid: 17567668
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p132.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567668.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 8613)
@     0s  (started worker 1 with pid 8614)
@     0s  (started worker 2 with pid 8615)
@     0s  (started worker 3 with pid 8616)
@     0s  (started worker 4 with pid 8617)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 8733)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 470 MB)
@     2s  (started worker 6 with pid 8789)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 760 MB)
@     3s  (started worker 7 with pid 8851)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1034 MB)
@     4s  (started worker 8 with pid 8919)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1254 MB)
@     5s  (started worker 9 with pid 9011)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1541 MB)
@     7s  (started worker 10 with pid 9091)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1768 MB)
@    15s  (total 11 workers using 2833 MB)
@    27s  (total 11 workers using 3595 MB)
@    39s  (total 11 workers using 4273 MB)
@    50s  (total 11 workers using 4898 MB)
@    58s  (worker 9 finished with result unknown) python3 avr.py -b bin_y2 -s -a sa4 --interpol 1 -f 1
@    61s  (total 10 workers using 4983 MB)
@    72s  (total 10 workers using 5365 MB)
@    83s  (total 10 workers using 5736 MB)
@    94s  (total 10 workers using 6246 MB)
@   105s  (total 10 workers using 6367 MB)
@   116s  (total 10 workers using 6867 MB)
@   127s  (total 10 workers using 7098 MB)
@   138s  (total 10 workers using 7440 MB)
@   149s  (total 10 workers using 7398 MB)
@   160s  (total 10 workers using 7697 MB)
@   171s  (total 10 workers using 7863 MB)
@   182s  (total 10 workers using 8168 MB)
@   193s  (total 10 workers using 8649 MB)
@   204s  (total 10 workers using 8825 MB)
@   215s  (total 10 workers using 9275 MB)
@   226s  (total 10 workers using 9189 MB)
@   236s  (total 10 workers using 9359 MB)
@   248s  (total 10 workers using 9584 MB)
@   258s  (total 10 workers using 9724 MB)
