c host: c3n30
c start: Fri Oct 18 23:18:20 CEST 2019
c arrayjobid: 17567257
c jobid: 17567728
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p121.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567728.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 5358)
@     0s  (started worker 1 with pid 5359)
@     0s  (started worker 2 with pid 5360)
@     0s  (started worker 3 with pid 5361)
@     0s  (started worker 4 with pid 5362)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 5480)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 399 MB)
@     2s  (started worker 6 with pid 5536)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 656 MB)
@     3s  (started worker 7 with pid 5598)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 940 MB)
@     4s  (started worker 8 with pid 5667)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1280 MB)
@     5s  (started worker 9 with pid 5759)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1517 MB)
@     7s  (started worker 10 with pid 5839)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1745 MB)
@    15s  (total 11 workers using 2676 MB)
@    27s  (total 11 workers using 3241 MB)
@    39s  (total 11 workers using 3638 MB)
@    50s  (total 11 workers using 3913 MB)
@    61s  (total 11 workers using 4193 MB)
@    73s  (total 11 workers using 4547 MB)
@    84s  (total 11 workers using 4922 MB)
@    95s  (total 11 workers using 5129 MB)
@   106s  (total 11 workers using 5488 MB)
@   117s  (total 11 workers using 5678 MB)
@   128s  (total 11 workers using 6060 MB)
@   139s  (total 11 workers using 6528 MB)
@   150s  (total 11 workers using 6829 MB)
@   161s  (total 11 workers using 7011 MB)
@   172s  (total 11 workers using 7145 MB)
@   183s  (total 11 workers using 7437 MB)
@   194s  (total 11 workers using 7603 MB)
@   205s  (total 11 workers using 8040 MB)
@   216s  (total 11 workers using 8063 MB)
@   227s  (total 11 workers using 8384 MB)
@   238s  (total 11 workers using 8597 MB)
@   250s  (total 11 workers using 8939 MB)
@   260s  (total 11 workers using 9076 MB)
@   272s  (total 11 workers using 9004 MB)
@   283s  (total 11 workers using 9415 MB)
@   294s  (total 11 workers using 9577 MB)
