c host: c3n23
c start: Fri Oct 18 21:58:26 CEST 2019
c arrayjobid: 17567257
c jobid: 17567658
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p053.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567658.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 26702)
@     0s  (started worker 1 with pid 26703)
@     0s  (started worker 2 with pid 26704)
@     0s  (started worker 3 with pid 26705)
@     0s  (started worker 4 with pid 26706)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 26822)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 448 MB)
@     2s  (started worker 6 with pid 26878)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 685 MB)
@     3s  (started worker 7 with pid 26940)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 908 MB)
@     4s  (started worker 8 with pid 27008)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1132 MB)
@     5s  (started worker 9 with pid 27105)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1267 MB)
@     6s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@     6s  (started worker 10 with pid 27179)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 1488 MB)
@    15s  (total 10 workers using 2968 MB)
@    26s  (total 10 workers using 4339 MB)
@    38s  (total 10 workers using 5843 MB)
@    49s  (total 10 workers using 6348 MB)
@    60s  (total 10 workers using 7028 MB)
@    72s  (total 10 workers using 8110 MB)
@    82s  (total 10 workers using 9338 MB)
@    94s  (total 10 workers using 9730 MB)
@   104s  (total 10 workers using 10619 MB)
@   116s  (total 10 workers using 11497 MB)
@   126s  (total 10 workers using 11043 MB)
@   137s  (total 10 workers using 12521 MB)
@   148s  (total 10 workers using 13184 MB)
@   159s  (total 10 workers using 13587 MB)
@   170s  (total 10 workers using 14155 MB)
@   181s  (total 10 workers using 13888 MB)
@   192s  (total 10 workers using 14579 MB)
@   203s  (total 10 workers using 15218 MB)
@   214s  (total 10 workers using 16633 MB)
@   225s  (total 10 workers using 16474 MB)
@   236s  (total 10 workers using 17039 MB)
@   247s  (total 10 workers using 17510 MB)
@   258s  (total 10 workers using 17275 MB)
@   269s  (total 10 workers using 17264 MB)
