c host: c3n25
c start: Fri Oct 18 21:27:41 CEST 2019
c arrayjobid: 17567257
c jobid: 17567620
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p080.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567620.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 32019)
@     0s  (started worker 1 with pid 32020)
@     0s  (started worker 2 with pid 32021)
@     0s  (started worker 3 with pid 32022)
@     0s  (started worker 4 with pid 32023)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 32139)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 380 MB)
@     2s  (started worker 6 with pid 32195)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 652 MB)
@     3s  (started worker 7 with pid 32257)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 959 MB)
@     4s  (started worker 8 with pid 32323)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1232 MB)
@     5s  (started worker 9 with pid 32415)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1473 MB)
@     7s  (started worker 10 with pid 32495)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1675 MB)
@    15s  (total 11 workers using 2636 MB)
@    27s  (total 11 workers using 3074 MB)
@    39s  (total 11 workers using 3415 MB)
@    50s  (total 11 workers using 3879 MB)
@    61s  (total 11 workers using 3966 MB)
@    72s  (total 11 workers using 4237 MB)
@    83s  (total 11 workers using 4633 MB)
@    95s  (total 11 workers using 4976 MB)
@   105s  (total 11 workers using 5065 MB)
@   117s  (total 11 workers using 5280 MB)
@   128s  (total 11 workers using 5485 MB)
@   139s  (total 11 workers using 5775 MB)
@   150s  (total 11 workers using 6139 MB)
@   161s  (total 11 workers using 6383 MB)
@   172s  (total 11 workers using 6402 MB)
@   183s  (total 11 workers using 6532 MB)
@   194s  (total 11 workers using 6737 MB)
@   205s  (total 11 workers using 6894 MB)
@   216s  (total 11 workers using 7184 MB)
@   227s  (total 11 workers using 7426 MB)
@   238s  (total 11 workers using 7556 MB)
@   249s  (total 11 workers using 7788 MB)
@   260s  (total 11 workers using 8113 MB)
@   271s  (total 11 workers using 8236 MB)
@   282s  (total 11 workers using 8291 MB)
@   293s  (total 11 workers using 8398 MB)
