c host: c3n03
c start: Fri Oct 18 22:52:04 CEST 2019
c arrayjobid: 17567257
c jobid: 17567713
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p020.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567713.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 2718)
@     0s  (started worker 1 with pid 2719)
@     0s  (started worker 2 with pid 2720)
@     0s  (started worker 3 with pid 2721)
@     0s  (started worker 4 with pid 2722)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 2838)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 384 MB)
@     2s  (started worker 6 with pid 2894)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 615 MB)
@     3s  (started worker 7 with pid 2956)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 847 MB)
@     4s  (started worker 8 with pid 3025)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1012 MB)
@     4s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@     5s  (started worker 9 with pid 3116)
@     5s  (spawned 1 workers)
@     5s  (total 9 workers using 1048 MB)
@     6s  (started worker 10 with pid 3191)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 1316 MB)
@    15s  (total 10 workers using 2557 MB)
@    26s  (total 10 workers using 3692 MB)
@    38s  (total 10 workers using 4776 MB)
@    49s  (total 10 workers using 5439 MB)
@    60s  (total 10 workers using 6390 MB)
@    72s  (total 10 workers using 6653 MB)
@    82s  (total 10 workers using 7781 MB)
@    93s  (total 10 workers using 8194 MB)
@   104s  (total 10 workers using 8639 MB)
@   115s  (total 10 workers using 9783 MB)
@   126s  (total 10 workers using 9319 MB)
@   137s  (total 10 workers using 10411 MB)
@   148s  (total 10 workers using 10865 MB)
@   159s  (total 10 workers using 10447 MB)
@   170s  (total 10 workers using 11689 MB)
@   181s  (total 10 workers using 11528 MB)
@   192s  (total 10 workers using 11397 MB)
@   203s  (total 10 workers using 12443 MB)
@   214s  (total 10 workers using 13180 MB)
@   225s  (total 10 workers using 12843 MB)
@   236s  (total 10 workers using 13853 MB)
@   247s  (total 10 workers using 13509 MB)
@   258s  (total 10 workers using 14088 MB)
@   269s  (total 10 workers using 14465 MB)
