c host: c3n23
c start: Fri Oct 18 22:58:00 CEST 2019
c arrayjobid: 17567257
c jobid: 17567718
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p086.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567718.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 15383)
@     0s  (started worker 1 with pid 15384)
@     0s  (started worker 2 with pid 15385)
@     0s  (started worker 3 with pid 15386)
@     0s  (started worker 4 with pid 15387)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 15503)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 403 MB)
@     2s  (started worker 6 with pid 15559)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 657 MB)
@     3s  (started worker 7 with pid 15621)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 959 MB)
@     4s  (started worker 8 with pid 15689)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1226 MB)
@     5s  (started worker 9 with pid 15781)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1369 MB)
@     7s  (started worker 10 with pid 15862)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1618 MB)
@    15s  (total 11 workers using 2502 MB)
@    27s  (total 11 workers using 2909 MB)
@    39s  (total 11 workers using 3245 MB)
@    50s  (total 11 workers using 3491 MB)
@    61s  (total 11 workers using 3800 MB)
@    73s  (total 11 workers using 4016 MB)
@    84s  (total 11 workers using 4366 MB)
@    95s  (total 11 workers using 4583 MB)
@   106s  (total 11 workers using 4796 MB)
@   117s  (total 11 workers using 5095 MB)
@   128s  (total 11 workers using 5251 MB)
@   139s  (total 11 workers using 5470 MB)
@   150s  (total 11 workers using 5797 MB)
@   161s  (total 11 workers using 5966 MB)
@   172s  (total 11 workers using 6132 MB)
@   183s  (total 11 workers using 6361 MB)
@   194s  (total 11 workers using 6484 MB)
@   205s  (total 11 workers using 6637 MB)
@   216s  (total 11 workers using 6840 MB)
@   227s  (total 11 workers using 7107 MB)
@   238s  (total 11 workers using 7194 MB)
@   249s  (total 11 workers using 7608 MB)
@   260s  (total 11 workers using 7656 MB)
@   271s  (total 11 workers using 7755 MB)
@   282s  (total 11 workers using 7822 MB)
@   293s  (total 11 workers using 7772 MB)
