c host: c3n06
c start: Fri Oct 18 22:40:01 CEST 2019
c arrayjobid: 17567257
c jobid: 17567694
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p047.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567694.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 13268)
@     0s  (started worker 1 with pid 13269)
@     0s  (started worker 2 with pid 13270)
@     0s  (started worker 3 with pid 13271)
@     0s  (started worker 4 with pid 13272)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 13388)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 394 MB)
@     2s  (started worker 6 with pid 13444)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 658 MB)
@     3s  (started worker 7 with pid 13506)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 933 MB)
@     4s  (started worker 8 with pid 13574)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1195 MB)
@     5s  (started worker 9 with pid 13666)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1403 MB)
@     7s  (started worker 10 with pid 13747)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1616 MB)
@    15s  (total 11 workers using 2468 MB)
@    27s  (total 11 workers using 2878 MB)
@    39s  (total 11 workers using 3148 MB)
@    50s  (total 11 workers using 3353 MB)
@    61s  (total 11 workers using 3454 MB)
@    73s  (total 11 workers using 3576 MB)
@    83s  (total 11 workers using 3759 MB)
@    95s  (total 11 workers using 3893 MB)
@   106s  (total 11 workers using 3997 MB)
@   117s  (total 11 workers using 4053 MB)
@   128s  (total 11 workers using 4140 MB)
@   139s  (total 11 workers using 4305 MB)
@   150s  (total 11 workers using 4431 MB)
@   161s  (total 11 workers using 4478 MB)
@   172s  (total 11 workers using 4608 MB)
@   183s  (total 11 workers using 4669 MB)
@   194s  (total 11 workers using 4758 MB)
@   205s  (total 11 workers using 4924 MB)
@   216s  (total 11 workers using 4951 MB)
@   227s  (total 11 workers using 5091 MB)
@   238s  (total 11 workers using 5102 MB)
@   249s  (total 11 workers using 5198 MB)
@   260s  (total 11 workers using 5206 MB)
@   272s  (total 11 workers using 5232 MB)
@   282s  (total 11 workers using 5247 MB)
@   294s  (total 11 workers using 5340 MB)
