c host: c3n18
c start: Fri Oct 18 21:49:14 CEST 2019
c arrayjobid: 17567257
c jobid: 17567644
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p035.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567644.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 24662)
@     0s  (started worker 1 with pid 24663)
@     0s  (started worker 2 with pid 24664)
@     0s  (started worker 3 with pid 24665)
@     0s  (started worker 4 with pid 24666)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 24782)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 402 MB)
@     2s  (started worker 6 with pid 24838)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 631 MB)
@     3s  (started worker 7 with pid 24900)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 835 MB)
@     4s  (started worker 8 with pid 24966)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 977 MB)
@     5s  (started worker 9 with pid 25058)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1175 MB)
@     7s  (started worker 10 with pid 25138)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1421 MB)
@    15s  (total 11 workers using 2127 MB)
@    27s  (total 11 workers using 2602 MB)
@    39s  (total 11 workers using 2842 MB)
@    50s  (total 11 workers using 3270 MB)
@    61s  (total 11 workers using 3603 MB)
@    73s  (total 11 workers using 3906 MB)
@    83s  (total 11 workers using 4199 MB)
@    95s  (total 11 workers using 4407 MB)
@   106s  (total 11 workers using 4652 MB)
@   117s  (total 11 workers using 4767 MB)
@   128s  (total 11 workers using 4992 MB)
@   139s  (total 11 workers using 5138 MB)
@   150s  (total 11 workers using 5295 MB)
@   161s  (total 11 workers using 5415 MB)
@   172s  (total 11 workers using 5658 MB)
@   183s  (total 11 workers using 5810 MB)
@   194s  (total 11 workers using 5905 MB)
@   205s  (total 11 workers using 6131 MB)
@   216s  (total 11 workers using 6353 MB)
@   228s  (total 11 workers using 6552 MB)
@   239s  (total 11 workers using 6758 MB)
@   250s  (total 11 workers using 6817 MB)
@   261s  (total 11 workers using 6982 MB)
@   272s  (total 11 workers using 7047 MB)
@   283s  (total 11 workers using 7344 MB)
