c host: c3n19
c start: Fri Oct 18 22:41:56 CEST 2019
c arrayjobid: 17567257
c jobid: 17567697
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p220.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567697.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 27510)
@     0s  (started worker 1 with pid 27511)
@     0s  (started worker 2 with pid 27512)
@     0s  (started worker 3 with pid 27513)
@     0s  (started worker 4 with pid 27514)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 27631)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 410 MB)
@     2s  (started worker 6 with pid 27687)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 704 MB)
@     3s  (started worker 7 with pid 27749)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 927 MB)
@     4s  (started worker 8 with pid 27818)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1137 MB)
@     5s  (started worker 9 with pid 27910)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1357 MB)
@     7s  (started worker 10 with pid 27991)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1519 MB)
@    15s  (total 11 workers using 2447 MB)
@    27s  (total 11 workers using 2990 MB)
@    39s  (total 11 workers using 3511 MB)
@    50s  (total 11 workers using 3947 MB)
@    61s  (total 11 workers using 4258 MB)
@    73s  (total 11 workers using 4669 MB)
@    84s  (total 11 workers using 5041 MB)
@    95s  (total 11 workers using 5366 MB)
@   106s  (total 11 workers using 5712 MB)
@   117s  (total 11 workers using 6020 MB)
@   128s  (total 11 workers using 6264 MB)
@   140s  (total 11 workers using 6553 MB)
@   151s  (total 11 workers using 6782 MB)
@   162s  (total 11 workers using 7102 MB)
@   173s  (total 11 workers using 7529 MB)
@   184s  (total 11 workers using 7863 MB)
@   195s  (total 11 workers using 8175 MB)
@   206s  (total 11 workers using 8293 MB)
@   217s  (total 11 workers using 8623 MB)
@   228s  (total 11 workers using 8704 MB)
@   239s  (total 11 workers using 8910 MB)
@   250s  (total 11 workers using 9171 MB)
@   261s  (total 11 workers using 9601 MB)
@   273s  (total 11 workers using 9889 MB)
@   283s  (total 11 workers using 10099 MB)
@   295s  (total 11 workers using 10287 MB)
