c host: c3n32
c start: Fri Oct 18 22:28:04 CEST 2019
c arrayjobid: 17567257
c jobid: 17567678
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p016.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567678.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 7948)
@     0s  (started worker 1 with pid 7949)
@     0s  (started worker 2 with pid 7950)
@     0s  (started worker 3 with pid 7951)
@     0s  (started worker 4 with pid 7952)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 8070)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 403 MB)
@     2s  (started worker 6 with pid 8126)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 636 MB)
@     3s  (started worker 7 with pid 8188)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 827 MB)
@     4s  (started worker 8 with pid 8256)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1035 MB)
@     5s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@     5s  (started worker 9 with pid 8349)
@     5s  (spawned 1 workers)
@     5s  (total 9 workers using 1117 MB)
@     6s  (started worker 10 with pid 8423)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 1339 MB)
@    15s  (total 10 workers using 2500 MB)
@    26s  (total 10 workers using 3885 MB)
@    38s  (total 10 workers using 4905 MB)
@    49s  (total 10 workers using 5583 MB)
@    60s  (total 10 workers using 6539 MB)
@    71s  (total 10 workers using 6981 MB)
@    82s  (total 10 workers using 7872 MB)
@    93s  (total 10 workers using 8209 MB)
@   104s  (total 10 workers using 9515 MB)
@   115s  (total 10 workers using 9703 MB)
@   126s  (total 10 workers using 10300 MB)
@   137s  (total 10 workers using 10690 MB)
@   148s  (total 10 workers using 10506 MB)
@   159s  (total 10 workers using 11216 MB)
@   170s  (total 10 workers using 11868 MB)
@   181s  (total 10 workers using 11520 MB)
@   192s  (total 10 workers using 12928 MB)
@   203s  (total 10 workers using 12755 MB)
@   214s  (total 10 workers using 13752 MB)
@   225s  (total 10 workers using 14027 MB)
@   236s  (total 10 workers using 14407 MB)
@   247s  (total 10 workers using 13894 MB)
@   258s  (total 10 workers using 15092 MB)
@   269s  (total 10 workers using 14357 MB)
