c host: c3n07
c start: Fri Oct 18 22:26:57 CEST 2019
c arrayjobid: 17567257
c jobid: 17567676
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r0-p117.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567676.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 14706)
@     0s  (started worker 1 with pid 14707)
@     0s  (started worker 2 with pid 14708)
@     0s  (started worker 3 with pid 14709)
@     0s  (started worker 4 with pid 14710)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 14826)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 364 MB)
@     2s  (started worker 6 with pid 14882)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 583 MB)
@     3s  (started worker 7 with pid 14944)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 690 MB)
@     4s  (started worker 8 with pid 15010)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 948 MB)
@     5s  (started worker 9 with pid 15102)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1109 MB)
@     7s  (started worker 10 with pid 15182)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1301 MB)
@    15s  (total 11 workers using 1946 MB)
@    27s  (total 11 workers using 2393 MB)
@    39s  (total 11 workers using 2636 MB)
@    50s  (total 11 workers using 3074 MB)
@    61s  (total 11 workers using 3327 MB)
@    73s  (total 11 workers using 3656 MB)
@    84s  (total 11 workers using 4006 MB)
@    95s  (total 11 workers using 4161 MB)
@   106s  (total 11 workers using 4388 MB)
@   117s  (total 11 workers using 4672 MB)
@   128s  (total 11 workers using 4943 MB)
@   139s  (total 11 workers using 5292 MB)
@   150s  (total 11 workers using 5473 MB)
@   162s  (total 11 workers using 5694 MB)
@   173s  (total 11 workers using 5916 MB)
@   184s  (total 11 workers using 6163 MB)
@   195s  (total 11 workers using 6276 MB)
@   206s  (total 11 workers using 6375 MB)
@   217s  (total 11 workers using 6578 MB)
@   228s  (total 11 workers using 6890 MB)
@   239s  (total 11 workers using 6946 MB)
@   250s  (total 11 workers using 7246 MB)
@   261s  (total 11 workers using 7503 MB)
@   273s  (total 11 workers using 7650 MB)
@   283s  (total 11 workers using 7880 MB)
@   295s  (total 11 workers using 7987 MB)
