c host: c3n05
c start: Fri Oct 18 23:00:58 CEST 2019
c arrayjobid: 17567257
c jobid: 17567725
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p074.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567725.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 31330)
@     0s  (started worker 1 with pid 31331)
@     0s  (started worker 2 with pid 31332)
@     0s  (started worker 3 with pid 31333)
@     0s  (started worker 4 with pid 31334)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 31450)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 394 MB)
@     2s  (started worker 6 with pid 31506)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 670 MB)
@     3s  (started worker 7 with pid 31568)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 993 MB)
@     4s  (started worker 8 with pid 31636)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1244 MB)
@     5s  (started worker 9 with pid 31728)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1448 MB)
@     6s  (started worker 10 with pid 31808)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 1657 MB)
@    15s  (total 11 workers using 2741 MB)
@    27s  (total 11 workers using 3051 MB)
@    39s  (total 11 workers using 3269 MB)
@    50s  (total 11 workers using 3556 MB)
@    61s  (total 11 workers using 3868 MB)
@    72s  (total 11 workers using 4239 MB)
@    83s  (total 11 workers using 4461 MB)
@    95s  (total 11 workers using 4678 MB)
@   105s  (total 11 workers using 4934 MB)
@   117s  (total 11 workers using 5184 MB)
@   128s  (total 11 workers using 5236 MB)
@   139s  (total 11 workers using 5546 MB)
@   150s  (total 11 workers using 5555 MB)
@   161s  (total 11 workers using 5757 MB)
@   172s  (total 11 workers using 5979 MB)
@   183s  (total 11 workers using 6264 MB)
@   194s  (total 11 workers using 6318 MB)
@   205s  (total 11 workers using 6424 MB)
@   216s  (total 11 workers using 6532 MB)
@   227s  (total 11 workers using 6868 MB)
@   238s  (total 11 workers using 6963 MB)
@   249s  (total 11 workers using 7130 MB)
@   260s  (total 11 workers using 7531 MB)
@   272s  (total 11 workers using 7594 MB)
@   282s  (total 11 workers using 7958 MB)
@   294s  (total 11 workers using 7862 MB)
