c host: c3n30
c start: Fri Oct 18 22:18:43 CEST 2019
c arrayjobid: 17567257
c jobid: 17567671
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r0-p031.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567671.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 11978)
@     0s  (started worker 1 with pid 11979)
@     0s  (started worker 2 with pid 11980)
@     0s  (started worker 3 with pid 11981)
@     0s  (started worker 4 with pid 11982)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 12098)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 345 MB)
@     2s  (started worker 6 with pid 12154)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 568 MB)
@     3s  (started worker 7 with pid 12216)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 677 MB)
@     4s  (started worker 8 with pid 12284)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 873 MB)
@     5s  (started worker 9 with pid 12377)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 989 MB)
@     6s  (started worker 10 with pid 12457)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 1213 MB)
@    15s  (total 11 workers using 1875 MB)
@    27s  (total 11 workers using 2185 MB)
@    38s  (total 11 workers using 2380 MB)
@    50s  (total 11 workers using 2555 MB)
@    61s  (total 11 workers using 2899 MB)
@    72s  (total 11 workers using 3141 MB)
@    83s  (total 11 workers using 3291 MB)
@    94s  (total 11 workers using 3493 MB)
@   105s  (total 11 workers using 3735 MB)
@   116s  (total 11 workers using 3893 MB)
@   127s  (total 11 workers using 4161 MB)
@   138s  (total 11 workers using 4281 MB)
@   149s  (total 11 workers using 4433 MB)
@   160s  (total 11 workers using 4636 MB)
@   171s  (total 11 workers using 4826 MB)
@   183s  (total 11 workers using 4953 MB)
@   193s  (total 11 workers using 5188 MB)
@   205s  (total 11 workers using 5518 MB)
@   215s  (total 11 workers using 5661 MB)
@   227s  (total 11 workers using 5737 MB)
@   238s  (total 11 workers using 5962 MB)
@   249s  (total 11 workers using 6100 MB)
@   260s  (total 11 workers using 6270 MB)
@   271s  (total 11 workers using 6328 MB)
@   282s  (total 11 workers using 6342 MB)
@   293s  (total 11 workers using 6590 MB)
