c host: c3n32
c start: Fri Oct 18 23:28:27 CEST 2019
c arrayjobid: 17567257
c jobid: 17567742
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r0-p060.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567742.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 32491)
@     0s  (started worker 1 with pid 32492)
@     0s  (started worker 2 with pid 32493)
@     0s  (started worker 3 with pid 32494)
@     0s  (started worker 4 with pid 32495)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 32612)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 374 MB)
@     2s  (started worker 6 with pid 32669)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 644 MB)
@     3s  (started worker 7 with pid 32731)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 955 MB)
@     4s  (started worker 8 with pid 337)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1190 MB)
@     5s  (started worker 9 with pid 429)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1423 MB)
@     7s  (started worker 10 with pid 510)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1604 MB)
@    15s  (total 11 workers using 2566 MB)
@    27s  (total 11 workers using 3304 MB)
@    39s  (total 11 workers using 3928 MB)
@    50s  (total 11 workers using 4293 MB)
@    61s  (total 11 workers using 4868 MB)
@    72s  (total 11 workers using 5169 MB)
@    83s  (total 11 workers using 5454 MB)
@    94s  (total 11 workers using 5676 MB)
@   105s  (total 11 workers using 6158 MB)
@   116s  (total 11 workers using 6276 MB)
@   127s  (total 11 workers using 6537 MB)
@   139s  (total 11 workers using 6927 MB)
@   149s  (total 11 workers using 7133 MB)
@   161s  (total 11 workers using 7315 MB)
@   172s  (total 11 workers using 7548 MB)
@   183s  (total 11 workers using 7720 MB)
@   194s  (total 11 workers using 7841 MB)
@   205s  (total 11 workers using 8290 MB)
@   216s  (total 11 workers using 8485 MB)
@   227s  (total 11 workers using 8648 MB)
@   238s  (total 11 workers using 8857 MB)
@   249s  (total 11 workers using 8851 MB)
@   260s  (total 11 workers using 8992 MB)
@   271s  (total 11 workers using 9176 MB)
@   282s  (total 11 workers using 9437 MB)
@   293s  (total 11 workers using 9709 MB)
