c host: c3n14
c start: Fri Oct 18 23:00:55 CEST 2019
c arrayjobid: 17567257
c jobid: 17567723
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p097.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567723.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 23908)
@     0s  (started worker 1 with pid 23909)
@     0s  (started worker 2 with pid 23910)
@     0s  (started worker 3 with pid 23911)
@     0s  (started worker 4 with pid 23912)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 24028)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 392 MB)
@     1s  (worker 5 finished with result unknown) python3 avr.py -b bin_bt_cadical -g 3 -l 0 -a sa32
@     2s  (started worker 6 with pid 24085)
@     2s  (spawned 1 workers)
@     2s  (total 6 workers using 581 MB)
@     3s  (started worker 7 with pid 24142)
@     3s  (spawned 1 workers)
@     3s  (total 7 workers using 810 MB)
@     4s  (started worker 8 with pid 24204)
@     4s  (spawned 1 workers)
@     4s  (total 8 workers using 1054 MB)
@     4s  (worker 8 finished with result unknown) python3 avr.py -l 5 -g 3 -a sa8 --interpol 1 -f 1
@     5s  (started worker 9 with pid 24287)
@     5s  (spawned 1 workers)
@     5s  (total 8 workers using 1285 MB)
@     5s  (worker 9 finished with result unknown) python3 avr.py -b bin_y2 -s -a sa4 --interpol 1 -f 1
@     6s  (started worker 10 with pid 24357)
@     6s  (spawned 1 workers)
@     6s  (total 8 workers using 1337 MB)
@    14s  (total 8 workers using 1977 MB)
@    25s  (total 8 workers using 2436 MB)
@    36s  (total 8 workers using 2393 MB)
@    47s  (total 8 workers using 2641 MB)
@    58s  (total 8 workers using 2756 MB)
@    69s  (total 8 workers using 2881 MB)
@    80s  (total 8 workers using 2953 MB)
@    90s  (total 8 workers using 3023 MB)
@   101s  (total 8 workers using 3063 MB)
@   112s  (total 8 workers using 3070 MB)
@   122s  (total 8 workers using 3218 MB)
@   133s  (total 8 workers using 3304 MB)
@   144s  (total 8 workers using 3306 MB)
@   155s  (total 8 workers using 3402 MB)
@   165s  (total 8 workers using 3441 MB)
@   176s  (total 8 workers using 3537 MB)
@   187s  (total 8 workers using 3652 MB)
@   198s  (total 8 workers using 3797 MB)
