c host: c3n13
c start: Fri Oct 18 21:45:01 CEST 2019
c arrayjobid: 17567257
c jobid: 17567641
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p083.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567641.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 17073)
@     0s  (started worker 1 with pid 17074)
@     0s  (started worker 2 with pid 17075)
@     0s  (started worker 3 with pid 17076)
@     0s  (started worker 4 with pid 17077)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 17193)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 379 MB)
@     2s  (started worker 6 with pid 17249)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 651 MB)
@     3s  (started worker 7 with pid 17311)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 964 MB)
@     4s  (started worker 8 with pid 17379)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1205 MB)
@     5s  (started worker 9 with pid 17471)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1436 MB)
@     7s  (started worker 10 with pid 17551)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1610 MB)
@    12s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@    15s  (total 10 workers using 2286 MB)
@    27s  (total 10 workers using 2634 MB)
@    38s  (total 10 workers using 2828 MB)
@    49s  (total 10 workers using 3137 MB)
@    60s  (total 10 workers using 3313 MB)
@    72s  (total 10 workers using 3582 MB)
@    83s  (total 10 workers using 3717 MB)
@    94s  (total 10 workers using 3856 MB)
@   105s  (total 10 workers using 4055 MB)
@   116s  (total 10 workers using 4240 MB)
@   127s  (total 10 workers using 4465 MB)
@   138s  (total 10 workers using 4510 MB)
@   149s  (total 10 workers using 4717 MB)
@   160s  (total 10 workers using 4960 MB)
@   171s  (total 10 workers using 5147 MB)
@   182s  (total 10 workers using 5276 MB)
@   192s  (total 10 workers using 5295 MB)
@   204s  (total 10 workers using 5467 MB)
@   214s  (total 10 workers using 5657 MB)
@   226s  (total 10 workers using 5873 MB)
@   236s  (total 10 workers using 5918 MB)
@   247s  (total 10 workers using 6094 MB)
@   258s  (total 10 workers using 6207 MB)
@   269s  (total 10 workers using 6396 MB)
