c host: c3n17
c start: Fri Oct 18 21:51:40 CEST 2019
c arrayjobid: 17567257
c jobid: 17567648
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p064.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567648.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 5154)
@     0s  (started worker 1 with pid 5155)
@     0s  (started worker 2 with pid 5156)
@     0s  (started worker 3 with pid 5157)
@     0s  (started worker 4 with pid 5158)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 5274)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 389 MB)
@     2s  (started worker 6 with pid 5331)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 692 MB)
@     3s  (started worker 7 with pid 5393)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 938 MB)
@     4s  (started worker 8 with pid 5459)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1208 MB)
@     5s  (started worker 9 with pid 5551)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1359 MB)
@     7s  (started worker 10 with pid 5631)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1607 MB)
@    15s  (total 11 workers using 2505 MB)
@    27s  (total 11 workers using 3153 MB)
@    39s  (total 11 workers using 3431 MB)
@    50s  (total 11 workers using 3689 MB)
@    61s  (total 11 workers using 3958 MB)
@    73s  (total 11 workers using 4221 MB)
@    84s  (total 11 workers using 4476 MB)
@    95s  (total 11 workers using 4615 MB)
@   106s  (total 11 workers using 4811 MB)
@   117s  (total 11 workers using 5130 MB)
@   128s  (total 11 workers using 5281 MB)
@   139s  (total 11 workers using 5467 MB)
@   150s  (total 11 workers using 5722 MB)
@   161s  (total 11 workers using 6006 MB)
@   172s  (total 11 workers using 6039 MB)
@   183s  (total 11 workers using 6207 MB)
@   194s  (total 11 workers using 6541 MB)
@   206s  (total 11 workers using 6876 MB)
@   217s  (total 11 workers using 6982 MB)
@   228s  (total 11 workers using 7085 MB)
@   239s  (total 11 workers using 7354 MB)
@   250s  (total 11 workers using 7581 MB)
@   261s  (total 11 workers using 7681 MB)
@   272s  (total 11 workers using 8153 MB)
@   283s  (total 11 workers using 8210 MB)
@   294s  (total 11 workers using 8356 MB)
