c host: c3n15
c start: Fri Oct 18 21:53:19 CEST 2019
c arrayjobid: 17567257
c jobid: 17567650
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p093.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567650.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 15421)
@     0s  (started worker 1 with pid 15422)
@     0s  (started worker 2 with pid 15423)
@     0s  (started worker 3 with pid 15424)
@     0s  (started worker 4 with pid 15425)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 15541)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 383 MB)
@     2s  (started worker 6 with pid 15597)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 632 MB)
@     3s  (started worker 7 with pid 15659)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 897 MB)
@     4s  (started worker 8 with pid 15727)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1188 MB)
@     5s  (started worker 9 with pid 15819)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1428 MB)
@     7s  (started worker 10 with pid 15900)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1644 MB)
@    15s  (total 11 workers using 2425 MB)
@    27s  (total 11 workers using 2515 MB)
@    39s  (total 11 workers using 2754 MB)
@    50s  (total 11 workers using 2855 MB)
@    61s  (total 11 workers using 3051 MB)
@    73s  (total 11 workers using 3148 MB)
@    83s  (total 11 workers using 3459 MB)
@    95s  (total 11 workers using 3545 MB)
@   106s  (total 11 workers using 3617 MB)
@   117s  (total 11 workers using 3697 MB)
@   128s  (total 11 workers using 3802 MB)
@   139s  (total 11 workers using 3905 MB)
@   150s  (total 11 workers using 4032 MB)
@   161s  (total 11 workers using 4142 MB)
@   172s  (total 11 workers using 4320 MB)
@   183s  (total 11 workers using 4356 MB)
@   194s  (total 11 workers using 4552 MB)
@   206s  (total 11 workers using 4563 MB)
@   217s  (total 11 workers using 4644 MB)
@   228s  (total 11 workers using 4791 MB)
@   239s  (total 11 workers using 4816 MB)
@   250s  (total 11 workers using 4901 MB)
@   261s  (total 11 workers using 4959 MB)
@   272s  (total 11 workers using 4987 MB)
@   283s  (total 11 workers using 5193 MB)
@   295s  (total 11 workers using 5286 MB)
