c host: c3n26
c start: Fri Oct 18 21:45:42 CEST 2019
c arrayjobid: 17567257
c jobid: 17567643
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p163.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567643.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 32057)
@     0s  (started worker 1 with pid 32058)
@     0s  (started worker 2 with pid 32059)
@     0s  (started worker 3 with pid 32060)
@     0s  (started worker 4 with pid 32061)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 32177)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 434 MB)
@     2s  (started worker 6 with pid 32233)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 709 MB)
@     3s  (started worker 7 with pid 32295)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 981 MB)
@     4s  (started worker 8 with pid 32363)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1143 MB)
@     5s  (started worker 9 with pid 32455)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1378 MB)
@     7s  (started worker 10 with pid 32535)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1574 MB)
@    15s  (total 11 workers using 2486 MB)
@    27s  (total 11 workers using 3181 MB)
@    39s  (total 11 workers using 3655 MB)
@    50s  (total 11 workers using 4120 MB)
@    61s  (total 11 workers using 4636 MB)
@    73s  (total 11 workers using 4939 MB)
@    83s  (total 11 workers using 5257 MB)
@    95s  (total 11 workers using 5578 MB)
@   106s  (total 11 workers using 5876 MB)
@   117s  (total 11 workers using 6128 MB)
@   122s  (worker 9 finished with result unknown) python3 avr.py -b bin_y2 -s -a sa4 --interpol 1 -f 1
@   128s  (total 10 workers using 6017 MB)
@   139s  (total 10 workers using 6266 MB)
@   150s  (total 10 workers using 6496 MB)
@   161s  (total 10 workers using 6757 MB)
@   171s  (total 10 workers using 6880 MB)
@   182s  (total 10 workers using 7246 MB)
@   193s  (total 10 workers using 7427 MB)
@   204s  (total 10 workers using 7702 MB)
@   215s  (total 10 workers using 7996 MB)
@   226s  (total 10 workers using 8294 MB)
@   237s  (total 10 workers using 8598 MB)
@   248s  (total 10 workers using 8881 MB)
@   259s  (total 10 workers using 8987 MB)
