c host: c3n20
c start: Fri Oct 18 23:25:28 CEST 2019
c arrayjobid: 17567257
c jobid: 17567731
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p173.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567731.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 13622)
@     0s  (started worker 1 with pid 13623)
@     0s  (started worker 2 with pid 13624)
@     0s  (started worker 3 with pid 13625)
@     0s  (started worker 4 with pid 13626)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 13742)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 439 MB)
@     2s  (started worker 6 with pid 13798)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 724 MB)
@     3s  (started worker 7 with pid 13860)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1006 MB)
@     4s  (started worker 8 with pid 13928)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1223 MB)
@     5s  (started worker 9 with pid 14020)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1476 MB)
@     6s  (started worker 10 with pid 14100)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 1652 MB)
@    15s  (total 11 workers using 2714 MB)
@    27s  (total 11 workers using 3108 MB)
@    39s  (total 11 workers using 3576 MB)
@    50s  (total 11 workers using 3830 MB)
@    61s  (total 11 workers using 4302 MB)
@    72s  (total 11 workers using 4476 MB)
@    83s  (total 11 workers using 4807 MB)
@    95s  (total 11 workers using 5058 MB)
@   105s  (total 11 workers using 5263 MB)
@   117s  (total 11 workers using 5511 MB)
@   128s  (total 11 workers using 5753 MB)
@   139s  (total 11 workers using 5991 MB)
@   150s  (total 11 workers using 6160 MB)
@   161s  (total 11 workers using 6352 MB)
@   172s  (total 11 workers using 6455 MB)
@   183s  (total 11 workers using 6633 MB)
@   194s  (total 11 workers using 7195 MB)
@   205s  (total 11 workers using 7543 MB)
@   216s  (total 11 workers using 7701 MB)
@   227s  (total 11 workers using 8030 MB)
@   238s  (total 11 workers using 8163 MB)
@   249s  (total 11 workers using 8378 MB)
@   260s  (total 11 workers using 8387 MB)
@   271s  (total 11 workers using 8622 MB)
@   282s  (total 11 workers using 8845 MB)
@   294s  (total 11 workers using 8963 MB)
