c host: c3n10
c start: Fri Oct 18 21:40:58 CEST 2019
c arrayjobid: 17567257
c jobid: 17567630
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p166.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567630.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 18855)
@     0s  (started worker 1 with pid 18856)
@     0s  (started worker 2 with pid 18857)
@     0s  (started worker 3 with pid 18858)
@     0s  (started worker 4 with pid 18859)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 18975)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 433 MB)
@     2s  (started worker 6 with pid 19031)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 716 MB)
@     3s  (started worker 7 with pid 19093)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1033 MB)
@     4s  (started worker 8 with pid 19161)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1184 MB)
@     5s  (started worker 9 with pid 19253)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1451 MB)
@     7s  (started worker 10 with pid 19333)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1663 MB)
@    15s  (total 11 workers using 2699 MB)
@    27s  (total 11 workers using 3049 MB)
@    39s  (total 11 workers using 3211 MB)
@    50s  (total 11 workers using 3444 MB)
@    61s  (total 11 workers using 3616 MB)
@    72s  (total 11 workers using 3897 MB)
@    83s  (total 11 workers using 4109 MB)
@    95s  (total 11 workers using 4384 MB)
@   105s  (total 11 workers using 4714 MB)
@   117s  (total 11 workers using 4902 MB)
@   128s  (total 11 workers using 4941 MB)
@   139s  (total 11 workers using 5096 MB)
@   150s  (total 11 workers using 5232 MB)
@   161s  (total 11 workers using 5479 MB)
@   172s  (total 11 workers using 5596 MB)
@   183s  (total 11 workers using 5647 MB)
@   194s  (total 11 workers using 5756 MB)
@   205s  (total 11 workers using 5905 MB)
@   216s  (total 11 workers using 6025 MB)
@   227s  (total 11 workers using 6118 MB)
@   238s  (total 11 workers using 6217 MB)
@   249s  (total 11 workers using 6325 MB)
@   260s  (total 11 workers using 6558 MB)
@   271s  (total 11 workers using 6629 MB)
@   282s  (total 11 workers using 6766 MB)
@   293s  (total 11 workers using 6942 MB)
