c host: c3n29
c start: Fri Oct 18 21:33:40 CEST 2019
c arrayjobid: 17567257
c jobid: 17567622
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p095.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567622.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 5723)
@     0s  (started worker 1 with pid 5724)
@     0s  (started worker 2 with pid 5725)
@     0s  (started worker 3 with pid 5726)
@     0s  (started worker 4 with pid 5727)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 5843)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 399 MB)
@     2s  (started worker 6 with pid 5899)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 641 MB)
@     3s  (started worker 7 with pid 5961)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 905 MB)
@     4s  (started worker 8 with pid 6030)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1181 MB)
@     5s  (started worker 9 with pid 6122)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1349 MB)
@     7s  (started worker 10 with pid 6202)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1570 MB)
@    15s  (total 11 workers using 2309 MB)
@    27s  (total 11 workers using 2688 MB)
@    39s  (total 11 workers using 2907 MB)
@    50s  (total 11 workers using 3112 MB)
@    61s  (total 11 workers using 3300 MB)
@    73s  (total 11 workers using 3375 MB)
@    83s  (total 11 workers using 3642 MB)
@    95s  (total 11 workers using 3648 MB)
@   106s  (total 11 workers using 3677 MB)
@   117s  (total 11 workers using 3854 MB)
@   128s  (total 11 workers using 4142 MB)
@   139s  (total 11 workers using 4385 MB)
@   150s  (total 11 workers using 4502 MB)
@   161s  (total 11 workers using 4547 MB)
@   172s  (total 11 workers using 4592 MB)
@   183s  (total 11 workers using 4660 MB)
@   194s  (total 11 workers using 4779 MB)
@   205s  (total 11 workers using 4846 MB)
@   216s  (total 11 workers using 5062 MB)
@   228s  (total 11 workers using 5119 MB)
@   238s  (total 11 workers using 5159 MB)
@   250s  (total 11 workers using 5218 MB)
@   261s  (total 11 workers using 5266 MB)
@   272s  (total 11 workers using 5382 MB)
@   283s  (total 11 workers using 5452 MB)
@   294s  (total 11 workers using 5686 MB)
