c host: c3n02
c start: Fri Oct 18 22:39:18 CEST 2019
c arrayjobid: 17567257
c jobid: 17567687
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p021.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567687.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 4798)
@     0s  (started worker 1 with pid 4799)
@     0s  (started worker 2 with pid 4800)
@     0s  (started worker 3 with pid 4801)
@     0s  (started worker 4 with pid 4802)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 4918)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 385 MB)
@     2s  (started worker 6 with pid 4974)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 655 MB)
@     3s  (started worker 7 with pid 5036)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 904 MB)
@     4s  (started worker 8 with pid 5103)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1150 MB)
@     5s  (started worker 9 with pid 5195)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1401 MB)
@     6s  (started worker 10 with pid 5275)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 1715 MB)
@    15s  (total 11 workers using 3210 MB)
@    27s  (total 11 workers using 4356 MB)
@    38s  (total 11 workers using 6017 MB)
@    50s  (total 11 workers using 7117 MB)
@    61s  (total 11 workers using 7843 MB)
@    72s  (total 11 workers using 8210 MB)
@    83s  (total 11 workers using 8465 MB)
@    94s  (total 11 workers using 10082 MB)
@   105s  (total 11 workers using 10260 MB)
@   117s  (total 11 workers using 11555 MB)
@   127s  (total 11 workers using 12117 MB)
@   139s  (total 11 workers using 12536 MB)
@   149s  (total 11 workers using 13061 MB)
@   161s  (total 11 workers using 13459 MB)
@   172s  (total 11 workers using 13545 MB)
@   183s  (total 11 workers using 13447 MB)
@   194s  (total 11 workers using 13367 MB)
@   205s  (total 11 workers using 14770 MB)
@   216s  (total 11 workers using 14252 MB)
@   227s  (total 11 workers using 14881 MB)
@   238s  (total 11 workers using 16592 MB)
@   249s  (total 11 workers using 16586 MB)
@   260s  (total 11 workers using 17488 MB)
@   271s  (total 11 workers using 17808 MB)
@   282s  (total 11 workers using 17473 MB)
@   293s  (total 11 workers using 19816 MB)
