c host: c3n11
c start: Fri Oct 18 22:34:41 CEST 2019
c arrayjobid: 17567257
c jobid: 17567685
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r0-p087.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567685.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 31359)
@     0s  (started worker 1 with pid 31360)
@     0s  (started worker 2 with pid 31361)
@     0s  (started worker 3 with pid 31362)
@     0s  (started worker 4 with pid 31363)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 31479)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 379 MB)
@     2s  (started worker 6 with pid 31535)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 634 MB)
@     3s  (started worker 7 with pid 31597)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 957 MB)
@     4s  (started worker 8 with pid 31665)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1185 MB)
@     5s  (started worker 9 with pid 31757)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1348 MB)
@     7s  (started worker 10 with pid 31838)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1539 MB)
@     7s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@    15s  (total 10 workers using 2112 MB)
@    26s  (total 10 workers using 2436 MB)
@    38s  (total 10 workers using 2640 MB)
@    49s  (total 10 workers using 2920 MB)
@    60s  (total 10 workers using 3087 MB)
@    72s  (total 10 workers using 3281 MB)
@    82s  (total 10 workers using 3541 MB)
@    94s  (total 10 workers using 3795 MB)
@   104s  (total 10 workers using 4053 MB)
@   115s  (total 10 workers using 4131 MB)
@   126s  (total 10 workers using 4335 MB)
@   137s  (total 10 workers using 4423 MB)
@   148s  (total 10 workers using 4517 MB)
@   159s  (total 10 workers using 4690 MB)
@   170s  (total 10 workers using 4959 MB)
@   181s  (total 10 workers using 5097 MB)
@   192s  (total 10 workers using 5314 MB)
@   203s  (total 10 workers using 5340 MB)
@   214s  (total 10 workers using 5539 MB)
@   225s  (total 10 workers using 5634 MB)
@   236s  (total 10 workers using 5900 MB)
@   247s  (total 10 workers using 5996 MB)
@   258s  (total 10 workers using 6180 MB)
@   269s  (total 10 workers using 6381 MB)
