c host: c3n10
c start: Fri Oct 18 22:51:27 CEST 2019
c arrayjobid: 17567257
c jobid: 17567711
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p052.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567711.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 17419)
@     0s  (started worker 1 with pid 17420)
@     0s  (started worker 2 with pid 17421)
@     0s  (started worker 3 with pid 17422)
@     0s  (started worker 4 with pid 17423)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 17539)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 413 MB)
@     2s  (started worker 6 with pid 17595)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 688 MB)
@     3s  (started worker 7 with pid 17657)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 935 MB)
@     4s  (started worker 8 with pid 17725)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1175 MB)
@     5s  (started worker 9 with pid 17817)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1433 MB)
@     7s  (started worker 10 with pid 17897)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1806 MB)
@    15s  (total 11 workers using 3142 MB)
@    27s  (total 11 workers using 4692 MB)
@    39s  (total 11 workers using 6297 MB)
@    50s  (total 11 workers using 7384 MB)
@    61s  (total 11 workers using 7932 MB)
@    73s  (total 11 workers using 8480 MB)
@    84s  (total 11 workers using 9688 MB)
@    95s  (total 11 workers using 9963 MB)
@   106s  (total 11 workers using 10315 MB)
@   117s  (total 11 workers using 11527 MB)
@   128s  (total 11 workers using 11425 MB)
@   139s  (total 11 workers using 12111 MB)
@   150s  (total 11 workers using 13393 MB)
@   161s  (total 11 workers using 13906 MB)
@   162s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@   172s  (total 10 workers using 13722 MB)
@   183s  (total 10 workers using 14727 MB)
@   194s  (total 10 workers using 14799 MB)
@   205s  (total 10 workers using 14570 MB)
@   216s  (total 10 workers using 15201 MB)
@   227s  (total 10 workers using 15966 MB)
@   238s  (total 10 workers using 15525 MB)
@   249s  (total 10 workers using 15586 MB)
@   260s  (total 10 workers using 16756 MB)
@   271s  (total 10 workers using 16017 MB)
