c host: c3n22
c start: Fri Oct 18 21:43:47 CEST 2019
c arrayjobid: 17567257
c jobid: 17567639
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r0-p104.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567639.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 3522)
@     0s  (started worker 1 with pid 3523)
@     0s  (started worker 2 with pid 3524)
@     0s  (started worker 3 with pid 3525)
@     0s  (started worker 4 with pid 3526)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 3642)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 362 MB)
@     2s  (started worker 6 with pid 3699)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 620 MB)
@     3s  (started worker 7 with pid 3762)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 887 MB)
@     4s  (started worker 8 with pid 3830)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1122 MB)
@     5s  (started worker 9 with pid 3922)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1267 MB)
@     7s  (started worker 10 with pid 4002)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1460 MB)
@     8s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@    15s  (total 10 workers using 1994 MB)
@    26s  (total 10 workers using 2235 MB)
@    38s  (total 10 workers using 2339 MB)
@    49s  (total 10 workers using 2450 MB)
@    60s  (total 10 workers using 2518 MB)
@    72s  (total 10 workers using 2742 MB)
@    82s  (total 10 workers using 2817 MB)
@    94s  (total 10 workers using 2879 MB)
@   104s  (total 10 workers using 2941 MB)
@   115s  (total 10 workers using 3056 MB)
@   126s  (total 10 workers using 3253 MB)
@   137s  (total 10 workers using 3309 MB)
@   148s  (total 10 workers using 3397 MB)
@   159s  (total 10 workers using 3452 MB)
@   170s  (total 10 workers using 3513 MB)
@   181s  (total 10 workers using 3592 MB)
@   192s  (total 10 workers using 3696 MB)
@   203s  (total 10 workers using 3816 MB)
@   214s  (total 10 workers using 3879 MB)
@   225s  (total 10 workers using 4037 MB)
@   236s  (total 10 workers using 4145 MB)
@   247s  (total 10 workers using 4199 MB)
@   258s  (total 10 workers using 4215 MB)
@   269s  (total 10 workers using 4268 MB)
