c host: c3n20
c start: Fri Oct 18 21:26:08 CEST 2019
c arrayjobid: 17567257
c jobid: 17567615
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019B/marlann_compute_pass-p2.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567615.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 2070)
@     0s  (started worker 1 with pid 2071)
@     0s  (started worker 2 with pid 2072)
@     0s  (started worker 3 with pid 2073)
@     0s  (started worker 4 with pid 2074)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 2198)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 266 MB)
@     1s  (worker 5 finished with result unknown) python3 avr.py -b bin_bt_cadical -g 3 -l 0 -a sa32
@     2s  (started worker 6 with pid 2256)
@     2s  (spawned 1 workers)
@     2s  (total 6 workers using 366 MB)
@     3s  (started worker 7 with pid 2314)
@     3s  (spawned 1 workers)
@     3s  (total 7 workers using 452 MB)
@     4s  (started worker 8 with pid 2378)
@     4s  (spawned 1 workers)
@     4s  (total 8 workers using 588 MB)
@     5s  (started worker 9 with pid 2462)
@     5s  (spawned 1 workers)
@     5s  (total 9 workers using 730 MB)
@     6s  (started worker 10 with pid 2537)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 917 MB)
@    14s  (total 10 workers using 1430 MB)
@    26s  (total 10 workers using 1839 MB)
@    38s  (total 10 workers using 2110 MB)
@    49s  (total 10 workers using 2315 MB)
@    60s  (total 10 workers using 2599 MB)
@    71s  (total 10 workers using 2841 MB)
@    82s  (total 10 workers using 2968 MB)
@    93s  (total 10 workers using 3086 MB)
@   104s  (total 10 workers using 3254 MB)
@   115s  (total 10 workers using 3374 MB)
@   125s  (total 10 workers using 3473 MB)
@   136s  (total 10 workers using 3608 MB)
@   147s  (total 10 workers using 3757 MB)
@   158s  (total 10 workers using 3868 MB)
@   169s  (total 10 workers using 3959 MB)
@   180s  (total 10 workers using 4095 MB)
@   191s  (total 10 workers using 4231 MB)
@   202s  (total 10 workers using 4351 MB)
@   213s  (total 10 workers using 4344 MB)
@   224s  (total 10 workers using 4364 MB)
@   235s  (total 10 workers using 4510 MB)
@   246s  (total 10 workers using 4477 MB)
@   256s  (total 10 workers using 4591 MB)
@   267s  (total 10 workers using 4727 MB)
