c host: c3n28
c start: Fri Oct 18 21:59:58 CEST 2019
c arrayjobid: 17567257
c jobid: 17567662
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p100.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567662.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 8448)
@     0s  (started worker 1 with pid 8449)
@     0s  (started worker 2 with pid 8450)
@     0s  (started worker 3 with pid 8451)
@     0s  (started worker 4 with pid 8452)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 8568)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 387 MB)
@     2s  (started worker 6 with pid 8624)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 650 MB)
@     3s  (started worker 7 with pid 8684)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 889 MB)
@     4s  (started worker 8 with pid 8750)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1204 MB)
@     5s  (started worker 9 with pid 8842)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1445 MB)
@     7s  (started worker 10 with pid 8922)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1606 MB)
@    15s  (total 11 workers using 2458 MB)
@    27s  (total 11 workers using 2550 MB)
@    39s  (total 11 workers using 2684 MB)
@    50s  (total 11 workers using 2857 MB)
@    61s  (total 11 workers using 3005 MB)
@    72s  (total 11 workers using 3250 MB)
@    83s  (total 11 workers using 3364 MB)
@    95s  (total 11 workers using 3543 MB)
@   105s  (total 11 workers using 3676 MB)
@   117s  (total 11 workers using 3806 MB)
@   128s  (total 11 workers using 3949 MB)
@   139s  (total 11 workers using 4056 MB)
@   150s  (total 11 workers using 4136 MB)
@   161s  (total 11 workers using 4243 MB)
@   172s  (total 11 workers using 4369 MB)
@   183s  (total 11 workers using 4493 MB)
@   194s  (total 11 workers using 4679 MB)
@   205s  (total 11 workers using 4731 MB)
@   216s  (total 11 workers using 4910 MB)
@   227s  (total 11 workers using 4951 MB)
@   238s  (total 11 workers using 5001 MB)
@   249s  (total 11 workers using 5122 MB)
@   260s  (total 11 workers using 5183 MB)
@   271s  (total 11 workers using 5323 MB)
@   282s  (total 11 workers using 5383 MB)
@   293s  (total 11 workers using 5508 MB)
