c host: c3n09
c start: Fri Oct 18 21:39:55 CEST 2019
c arrayjobid: 17567257
c jobid: 17567628
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p062.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567628.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 32143)
@     0s  (started worker 1 with pid 32144)
@     0s  (started worker 2 with pid 32145)
@     0s  (started worker 3 with pid 32146)
@     0s  (started worker 4 with pid 32147)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 32263)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 389 MB)
@     2s  (started worker 6 with pid 32319)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 676 MB)
@     3s  (started worker 7 with pid 32379)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1006 MB)
@     4s  (started worker 8 with pid 32447)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1256 MB)
@     5s  (started worker 9 with pid 32539)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1431 MB)
@     7s  (started worker 10 with pid 32619)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1714 MB)
@    15s  (total 11 workers using 2791 MB)
@    27s  (total 11 workers using 3215 MB)
@    39s  (total 11 workers using 3882 MB)
@    50s  (total 11 workers using 4199 MB)
@    61s  (total 11 workers using 4530 MB)
@    73s  (total 11 workers using 5063 MB)
@    84s  (total 11 workers using 5259 MB)
@    95s  (total 11 workers using 5598 MB)
@   106s  (total 11 workers using 5920 MB)
@   117s  (total 11 workers using 6520 MB)
@   128s  (total 11 workers using 6583 MB)
@   139s  (total 11 workers using 6939 MB)
@   150s  (total 11 workers using 7057 MB)
@   161s  (total 11 workers using 7402 MB)
@   172s  (total 11 workers using 7701 MB)
@   183s  (total 11 workers using 7799 MB)
@   194s  (total 11 workers using 7894 MB)
@   205s  (total 11 workers using 7956 MB)
@   216s  (total 11 workers using 8137 MB)
@   228s  (total 11 workers using 8410 MB)
@   238s  (total 11 workers using 8563 MB)
@   250s  (total 11 workers using 8851 MB)
@   261s  (total 11 workers using 8914 MB)
@   272s  (total 11 workers using 9195 MB)
@   283s  (total 11 workers using 9455 MB)
@   294s  (total 11 workers using 9599 MB)
