c host: c3n01
c start: Fri Oct 18 21:42:34 CEST 2019
c arrayjobid: 17567257
c jobid: 17567636
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p044.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567636.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 26678)
@     0s  (started worker 1 with pid 26679)
@     0s  (started worker 2 with pid 26680)
@     0s  (started worker 3 with pid 26681)
@     0s  (started worker 4 with pid 26682)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 26798)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 393 MB)
@     2s  (started worker 6 with pid 26854)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 663 MB)
@     3s  (started worker 7 with pid 26916)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 917 MB)
@     4s  (started worker 8 with pid 26984)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1173 MB)
@     5s  (started worker 9 with pid 27076)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1437 MB)
@     7s  (started worker 10 with pid 27156)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1625 MB)
@    15s  (total 11 workers using 2419 MB)
@    27s  (total 11 workers using 2856 MB)
@    39s  (total 11 workers using 3103 MB)
@    50s  (total 11 workers using 3363 MB)
@    62s  (total 11 workers using 3443 MB)
@    73s  (total 11 workers using 3717 MB)
@    84s  (total 11 workers using 3875 MB)
@    95s  (total 11 workers using 4016 MB)
@   106s  (total 11 workers using 4258 MB)
@   117s  (total 11 workers using 4545 MB)
@   128s  (total 11 workers using 4688 MB)
@   139s  (total 11 workers using 4829 MB)
@   150s  (total 11 workers using 4924 MB)
@   162s  (total 11 workers using 5058 MB)
@   172s  (total 11 workers using 5319 MB)
@   184s  (total 11 workers using 5415 MB)
@   195s  (total 11 workers using 5490 MB)
@   206s  (total 11 workers using 6012 MB)
@   217s  (total 11 workers using 6018 MB)
@   228s  (total 11 workers using 6063 MB)
@   239s  (total 11 workers using 6126 MB)
@   250s  (total 11 workers using 6471 MB)
@   261s  (total 11 workers using 6594 MB)
@   272s  (total 11 workers using 6922 MB)
@   283s  (total 11 workers using 7050 MB)
@   294s  (total 11 workers using 7182 MB)
