c host: c3n18
c start: Fri Oct 18 22:48:47 CEST 2019
c arrayjobid: 17567257
c jobid: 17567706
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r1-p122.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567706.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 14375)
@     0s  (started worker 1 with pid 14376)
@     0s  (started worker 2 with pid 14377)
@     0s  (started worker 3 with pid 14378)
@     0s  (started worker 4 with pid 14379)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 14497)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 383 MB)
@     2s  (started worker 6 with pid 14553)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 592 MB)
@     3s  (started worker 7 with pid 14615)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 755 MB)
@     4s  (started worker 8 with pid 14683)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 970 MB)
@     5s  (started worker 9 with pid 14775)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1128 MB)
@     7s  (started worker 10 with pid 14855)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1289 MB)
@    15s  (total 11 workers using 1922 MB)
@    27s  (total 11 workers using 2572 MB)
@    39s  (total 11 workers using 3073 MB)
@    50s  (total 11 workers using 3362 MB)
@    61s  (total 11 workers using 3695 MB)
@    72s  (total 11 workers using 4148 MB)
@    83s  (total 11 workers using 4356 MB)
@    95s  (total 11 workers using 4659 MB)
@   105s  (total 11 workers using 4826 MB)
@   117s  (total 11 workers using 5200 MB)
@   127s  (total 11 workers using 5560 MB)
@   139s  (total 11 workers using 5642 MB)
@   150s  (total 11 workers using 5752 MB)
@   161s  (total 11 workers using 6239 MB)
@   172s  (total 11 workers using 6380 MB)
@   183s  (total 11 workers using 6548 MB)
@   194s  (total 11 workers using 6702 MB)
@   205s  (total 11 workers using 6940 MB)
@   216s  (total 11 workers using 7023 MB)
@   227s  (total 11 workers using 7137 MB)
@   238s  (total 11 workers using 7499 MB)
@   249s  (total 11 workers using 7700 MB)
@   260s  (total 11 workers using 7840 MB)
@   271s  (total 11 workers using 8038 MB)
@   282s  (total 11 workers using 8372 MB)
@   293s  (total 11 workers using 8712 MB)
