c host: c3n31
c start: Fri Oct 18 22:57:51 CEST 2019
c arrayjobid: 17567257
c jobid: 17567717
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck2_r0-p238.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567717.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 5786)
@     0s  (started worker 1 with pid 5787)
@     0s  (started worker 2 with pid 5788)
@     0s  (started worker 3 with pid 5789)
@     0s  (started worker 4 with pid 5790)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 5906)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 449 MB)
@     2s  (started worker 6 with pid 5962)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 712 MB)
@     3s  (started worker 7 with pid 6022)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 957 MB)
@     4s  (started worker 8 with pid 6090)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1236 MB)
@     5s  (started worker 9 with pid 6182)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1599 MB)
@     7s  (started worker 10 with pid 6262)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1948 MB)
@    15s  (total 11 workers using 3622 MB)
@    27s  (total 11 workers using 5445 MB)
@    39s  (total 11 workers using 6496 MB)
@    50s  (total 11 workers using 7699 MB)
@    61s  (total 11 workers using 8955 MB)
@    73s  (total 11 workers using 10157 MB)
@    84s  (total 11 workers using 10589 MB)
@    95s  (total 11 workers using 12073 MB)
@   106s  (total 11 workers using 11410 MB)
@   117s  (total 11 workers using 12787 MB)
@   128s  (total 11 workers using 13274 MB)
@   139s  (total 11 workers using 13908 MB)
@   150s  (total 11 workers using 14322 MB)
@   162s  (total 11 workers using 15253 MB)
@   172s  (total 11 workers using 15685 MB)
@   184s  (total 11 workers using 15652 MB)
@   195s  (total 11 workers using 16451 MB)
@   206s  (total 11 workers using 17231 MB)
@   217s  (total 11 workers using 18377 MB)
@   228s  (total 11 workers using 17624 MB)
@   239s  (total 11 workers using 19344 MB)
@   250s  (total 11 workers using 19558 MB)
@   261s  (total 11 workers using 19860 MB)
@   272s  (total 11 workers using 21862 MB)
@   283s  (total 11 workers using 21525 MB)
@   295s  (total 11 workers using 22516 MB)
