c host: c3n12
c start: Fri Oct 18 21:58:56 CEST 2019
c arrayjobid: 17567257
c jobid: 17567661
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dblclockfft_butterfly_ck3_r2-p070.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567661.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 12682)
@     0s  (started worker 1 with pid 12683)
@     0s  (started worker 2 with pid 12684)
@     0s  (started worker 3 with pid 12685)
@     0s  (started worker 4 with pid 12686)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 12802)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 399 MB)
@     2s  (started worker 6 with pid 12858)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 705 MB)
@     3s  (started worker 7 with pid 12920)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1034 MB)
@     4s  (started worker 8 with pid 12988)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1347 MB)
@     5s  (started worker 9 with pid 13080)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1537 MB)
@     7s  (started worker 10 with pid 13160)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1857 MB)
@    15s  (total 11 workers using 2987 MB)
@    27s  (total 11 workers using 3540 MB)
@    39s  (total 11 workers using 4079 MB)
@    50s  (total 11 workers using 4560 MB)
@    61s  (total 11 workers using 4852 MB)
@    73s  (total 11 workers using 5106 MB)
@    83s  (total 11 workers using 5568 MB)
@    95s  (total 11 workers using 5798 MB)
@   106s  (total 11 workers using 6105 MB)
@   117s  (total 11 workers using 6478 MB)
@   128s  (total 11 workers using 6638 MB)
@   139s  (total 11 workers using 6906 MB)
@   150s  (total 11 workers using 7171 MB)
@   161s  (total 11 workers using 7335 MB)
@   172s  (total 11 workers using 7635 MB)
@   183s  (total 11 workers using 8091 MB)
@   194s  (total 11 workers using 8292 MB)
@   205s  (total 11 workers using 8416 MB)
@   216s  (total 11 workers using 8510 MB)
@   227s  (total 11 workers using 8608 MB)
@   238s  (total 11 workers using 8871 MB)
@   249s  (total 11 workers using 9144 MB)
@   260s  (total 11 workers using 9503 MB)
@   272s  (total 11 workers using 9729 MB)
@   283s  (total 11 workers using 9924 MB)
@   294s  (total 11 workers using 10435 MB)
