c host: c3n21
c start: Fri Oct 18 20:40:12 CEST 2019
c arrayjobid: 17567256
c jobid: 17567473
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dspfilters_fastfir_second-p17.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567473.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 10645)
@     0s  (started worker 1 with pid 10646)
@     0s  (started worker 2 with pid 10647)
@     0s  (started worker 3 with pid 10648)
@     0s  (started worker 4 with pid 10649)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 10765)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 501 MB)
@     2s  (started worker 6 with pid 10821)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 659 MB)
@     3s  (started worker 7 with pid 10883)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 817 MB)
@     4s  (started worker 8 with pid 10952)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 966 MB)
@     5s  (started worker 9 with pid 11045)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1103 MB)
@     7s  (started worker 10 with pid 11125)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1255 MB)
@    15s  (total 11 workers using 1840 MB)
@    27s  (total 11 workers using 2096 MB)
@    39s  (total 11 workers using 2193 MB)
@    50s  (total 11 workers using 2343 MB)
@    61s  (total 11 workers using 2475 MB)
@    73s  (total 11 workers using 2551 MB)
@    84s  (total 11 workers using 2605 MB)
@    95s  (total 11 workers using 2666 MB)
@   106s  (total 11 workers using 2786 MB)
@   117s  (total 11 workers using 2879 MB)
@   128s  (total 11 workers using 2914 MB)
@   140s  (total 11 workers using 3042 MB)
@   151s  (total 11 workers using 3186 MB)
@   162s  (total 11 workers using 3252 MB)
@   173s  (total 11 workers using 3369 MB)
@   184s  (total 11 workers using 3432 MB)
@   195s  (total 11 workers using 3541 MB)
@   206s  (total 11 workers using 3671 MB)
@   217s  (total 11 workers using 3738 MB)
@   229s  (total 11 workers using 3808 MB)
@   240s  (total 11 workers using 3817 MB)
@   251s  (total 11 workers using 3862 MB)
@   262s  (total 11 workers using 3938 MB)
@   273s  (total 11 workers using 3982 MB)
@   284s  (total 11 workers using 3994 MB)
@   295s  (total 11 workers using 4090 MB)
