c host: c3n15
c start: Fri Oct 18 19:53:55 CEST 2019
c arrayjobid: 17567256
c jobid: 17567451
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019A/picorv32_mutBX_nomem-p8.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567451.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 29922)
@     0s  (started worker 1 with pid 29923)
@     0s  (started worker 2 with pid 29924)
@     0s  (started worker 3 with pid 29925)
@     0s  (started worker 4 with pid 29926)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 30042)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 528 MB)
@     2s  (started worker 6 with pid 30098)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 751 MB)
@     3s  (started worker 7 with pid 30160)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 993 MB)
@     4s  (started worker 8 with pid 30228)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1175 MB)
@     5s  (started worker 9 with pid 30320)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1347 MB)
@     7s  (started worker 10 with pid 30400)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1524 MB)
@    15s  (total 11 workers using 2285 MB)
@    27s  (total 11 workers using 2444 MB)
@    39s  (total 11 workers using 2535 MB)
@    50s  (total 11 workers using 2567 MB)
@    61s  (total 11 workers using 2728 MB)
@    72s  (total 11 workers using 2814 MB)
@    83s  (total 11 workers using 2839 MB)
@    94s  (total 11 workers using 2872 MB)
@   105s  (total 11 workers using 2865 MB)
@   116s  (total 11 workers using 2899 MB)
@   127s  (total 11 workers using 2941 MB)
@   139s  (total 11 workers using 2970 MB)
@   149s  (total 11 workers using 3009 MB)
@   161s  (total 11 workers using 3126 MB)
@   171s  (total 11 workers using 3157 MB)
@   183s  (total 11 workers using 3207 MB)
@   194s  (total 11 workers using 3207 MB)
@   205s  (total 11 workers using 3249 MB)
@   216s  (total 11 workers using 3275 MB)
@   227s  (total 11 workers using 3257 MB)
@   238s  (total 11 workers using 3224 MB)
@   249s  (total 11 workers using 3273 MB)
@   260s  (total 11 workers using 3350 MB)
@   271s  (total 11 workers using 3380 MB)
@   282s  (total 11 workers using 3451 MB)
@   293s  (total 11 workers using 3508 MB)
