c host: c3n24
c start: Fri Oct 18 18:55:05 CEST 2019
c arrayjobid: 17567256
c jobid: 17567373
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/data-integrity/unsafe/circular_pointer_top_w32_d16_e0.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567373.0
	(output dir: /tmp//pr_test/work_w1)
	(frontend: btor2)
	(property: all (1 assertions))
	(1 / 603 flops initialized)
	(abstraction: sa+uf)
	(bmc: safe till step 0)
	(bmc: safe till step 10)
	(bmc: found cex at step 19)
   0	: 0	: 0 s: 0    24s                  
      Result        Time        Mem.       #Refs           
                     sec          MB                       
           v       24.39          54           0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 14348)
@     0s  (started worker 1 with pid 14349)
@     0s  (started worker 2 with pid 14350)
@     0s  (started worker 3 with pid 14351)
@     0s  (started worker 4 with pid 14352)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 14468)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 141 MB)
@     2s  (started worker 6 with pid 14524)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 186 MB)
@     3s  (started worker 7 with pid 14586)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 243 MB)
@     4s  (started worker 8 with pid 14654)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 293 MB)
@     5s  (started worker 9 with pid 14746)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 321 MB)
@     5s  (worker 8 finished with result unknown) python3 avr.py -l 5 -g 3 -a sa8 --interpol 1 -f 1
@     6s  (started worker 10 with pid 14825)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 378 MB)
@    15s  (total 10 workers using 589 MB)
@    25s  (worker 1 finished with result unsafe) python3 avr.py -b bin_bt_cadical -s --bmc
@    25s  (worker 1 output)
@    25s  (stopping all workers)
@    25s  (copied results from worker 1 in /tmp//pr_test)
@    25s  [0;30;47m(proof race finished with answer unsafe in 24.63 seconds)[m
sat
b0
#0
0 00000000000000000000000000000000 |_s0_f.entry_gen[16].ff_entry_inst.Q|#0
1 000000 |_s1_f.ff_rdPtr.Q|#0
2 00000000000000000000000000000000 |_s2_f.entry_gen[15].ff_entry_inst.Q|#0
3 00000000000000000000000000000000 |_s3_f.entry_gen[14].ff_entry_inst.Q|#0
4 00000000000000000000000000000000 |_s4_f.entry_gen[13].ff_entry_inst.Q|#0
5 00000000000000000000000000000000 |_s5_f.entry_gen[12].ff_entry_inst.Q|#0
6 00000000000000000000000000000000 |_s6_f.entry_gen[11].ff_entry_inst.Q|#0
7 00000000000000000000000000000000 |_s7_f.entry_gen[10].ff_entry_inst.Q|#0
8 00000000000000000000000000000000 |_s8_f.entry_gen[9].ff_entry_inst.Q|#0
9 00000000000000000000000000000000 |_s9_f.entry_gen[8].ff_entry_inst.Q|#0
10 00000000000000000000000000000000 |_s10_f.entry_gen[7].ff_entry_inst.Q|#0
11 00000000000000000000000000000000 |_s11_f.entry_gen[6].ff_entry_inst.Q|#0
12 00000000000000000000000000000000 |_s12_f.entry_gen[5].ff_entry_inst.Q|#0
13 00000000000000000000000000000000 |_s13_f.entry_gen[4].ff_entry_inst.Q|#0
14 00000000000000000000000000000000 |_s14_f.entry_gen[3].ff_entry_inst.Q|#0
15 00000000000000000000000000000000 |_s15_f.entry_gen[2].ff_entry_inst.Q|#0
16 00000000000000000000000000000000 |_s16_f.entry_gen[1].ff_entry_inst.Q|#0
17 00000000000000000000000000000000 |_s17_f.entry_gen[0].ff_entry_inst.Q|#0
18 000000 |_s18_f.cnt|#0
19 1 |_s19_sb.ff_en.Q|#0
20 0 |_s20_sb.ff_magic_packet_exited.Q|#0
21 000000 |_s21_sb.mpt.ff_cnt.Q|#0
22 00000000000000000000000000000000 |_s22_sb.ff_magic_packet.Q|#0
23 1 |_s23_initstate|#0
24 000000 |_s24_f.ff_wrPtr.Q|#0
@0
1 00000000000000000000000000000000 |_i1_data_in|@0
2 0 |_i2_pop|@0
3 0 |_i3_push|@0
4 1 |_i4_rst|@0
5 0 |_i5_start|@0
6 00000000000000000000000000000000 |_i6_id9|@0
7 0 |_i7_id150|@0
@1
1 11111111111111111111111111111111 |_i1_data_in|@1
2 0 |_i2_pop|@1
3 1 |_i3_push|@1
4 0 |_i4_rst|@1
5 0 |_i5_start|@1
6 00000000000000000000000000000000 |_i6_id9|@1
7 0 |_i7_id150|@1
@2
1 11111111111111111111111111111111 |_i1_data_in|@2
2 1 |_i2_pop|@2
3 1 |_i3_push|@2
4 0 |_i4_rst|@2
5 0 |_i5_start|@2
6 00000000000000000000000000000000 |_i6_id9|@2
7 0 |_i7_id150|@2
@3
1 11111111111111111111111111111111 |_i1_data_in|@3
2 1 |_i2_pop|@3
3 1 |_i3_push|@3
4 0 |_i4_rst|@3
5 0 |_i5_start|@3
6 00000000000000000000000000000000 |_i6_id9|@3
7 0 |_i7_id150|@3
@4
1 00000000000000000000000000000000 |_i1_data_in|@4
2 1 |_i2_pop|@4
3 1 |_i3_push|@4
4 0 |_i4_rst|@4
5 0 |_i5_start|@4
6 11111111111111111111111111111111 |_i6_id9|@4
7 0 |_i7_id150|@4
@5
1 00000000000000000000000000000000 |_i1_data_in|@5
2 1 |_i2_pop|@5
3 1 |_i3_push|@5
4 0 |_i4_rst|@5
5 0 |_i5_start|@5
6 11111111111111111111111111111111 |_i6_id9|@5
7 0 |_i7_id150|@5
@6
1 00000000000000000000000000000000 |_i1_data_in|@6
2 1 |_i2_pop|@6
3 1 |_i3_push|@6
4 0 |_i4_rst|@6
5 0 |_i5_start|@6
6 11111111111111111111111111111111 |_i6_id9|@6
7 0 |_i7_id150|@6
@7
1 00000000000000000000000000000000 |_i1_data_in|@7
2 1 |_i2_pop|@7
3 1 |_i3_push|@7
4 0 |_i4_rst|@7
5 0 |_i5_start|@7
6 00000000000000000000000000000000 |_i6_id9|@7
7 0 |_i7_id150|@7
@8
1 00000000000000000000000000000000 |_i1_data_in|@8
2 1 |_i2_pop|@8
3 1 |_i3_push|@8
4 0 |_i4_rst|@8
5 0 |_i5_start|@8
6 11111111111111111111111111111111 |_i6_id9|@8
7 0 |_i7_id150|@8
@9
1 00000000000000000000000000000000 |_i1_data_in|@9
2 1 |_i2_pop|@9
3 1 |_i3_push|@9
4 0 |_i4_rst|@9
5 0 |_i5_start|@9
6 11111111111111111111111111111111 |_i6_id9|@9
7 0 |_i7_id150|@9
@10
1 00000000000000000000000000000000 |_i1_data_in|@10
2 1 |_i2_pop|@10
3 1 |_i3_push|@10
4 0 |_i4_rst|@10
5 0 |_i5_start|@10
6 11111111111111111111111111111111 |_i6_id9|@10
7 0 |_i7_id150|@10
@11
1 00000000000000000000000000000000 |_i1_data_in|@11
2 1 |_i2_pop|@11
3 1 |_i3_push|@11
4 0 |_i4_rst|@11
5 0 |_i5_start|@11
6 00000000000000000000000000000000 |_i6_id9|@11
7 0 |_i7_id150|@11
@12
1 00000000000000000000000000000000 |_i1_data_in|@12
2 1 |_i2_pop|@12
3 1 |_i3_push|@12
4 0 |_i4_rst|@12
5 0 |_i5_start|@12
6 00000000000000000000000000000000 |_i6_id9|@12
7 0 |_i7_id150|@12
@13
1 00000000000000000000000000000000 |_i1_data_in|@13
2 1 |_i2_pop|@13
3 1 |_i3_push|@13
4 0 |_i4_rst|@13
5 0 |_i5_start|@13
6 00000000000000000000000000000000 |_i6_id9|@13
7 0 |_i7_id150|@13
@14
1 00000000000000000000000000000000 |_i1_data_in|@14
2 1 |_i2_pop|@14
3 1 |_i3_push|@14
4 0 |_i4_rst|@14
5 0 |_i5_start|@14
6 00000000000000000000000000000000 |_i6_id9|@14
7 0 |_i7_id150|@14
@15
1 00000000000000000000000000000000 |_i1_data_in|@15
2 1 |_i2_pop|@15
3 1 |_i3_push|@15
4 0 |_i4_rst|@15
5 0 |_i5_start|@15
6 11111111111111111111111111111111 |_i6_id9|@15
7 0 |_i7_id150|@15
@16
1 00000000000000000000000000000000 |_i1_data_in|@16
2 1 |_i2_pop|@16
3 1 |_i3_push|@16
4 0 |_i4_rst|@16
