c host: c3n23
c start: Fri Oct 18 19:59:36 CEST 2019
c arrayjobid: 17567256
c jobid: 17567455
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019A/picorv32_mutBX_nomem-p7.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567455.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 14289)
@     0s  (started worker 1 with pid 14290)
@     0s  (started worker 2 with pid 14291)
@     0s  (started worker 3 with pid 14292)
@     0s  (started worker 4 with pid 14293)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 14409)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 527 MB)
@     2s  (started worker 6 with pid 14465)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 768 MB)
@     3s  (started worker 7 with pid 14527)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1033 MB)
@     4s  (started worker 8 with pid 14595)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1268 MB)
@     5s  (started worker 9 with pid 14687)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1444 MB)
@     7s  (started worker 10 with pid 14767)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1621 MB)
@    15s  (total 11 workers using 2187 MB)
@    27s  (total 11 workers using 2592 MB)
@    39s  (total 11 workers using 2739 MB)
@    50s  (total 11 workers using 2851 MB)
@    61s  (total 11 workers using 2946 MB)
@    72s  (total 11 workers using 3097 MB)
@    83s  (total 11 workers using 3130 MB)
@    94s  (total 11 workers using 3180 MB)
@   105s  (total 11 workers using 3200 MB)
@   117s  (total 11 workers using 3260 MB)
@   127s  (total 11 workers using 3275 MB)
@   139s  (total 11 workers using 3420 MB)
@   150s  (total 11 workers using 3463 MB)
@   161s  (total 11 workers using 3560 MB)
@   172s  (total 11 workers using 3559 MB)
@   183s  (total 11 workers using 3616 MB)
@   194s  (total 11 workers using 3609 MB)
@   205s  (total 11 workers using 3695 MB)
@   216s  (total 11 workers using 3753 MB)
@   227s  (total 11 workers using 3743 MB)
@   238s  (total 11 workers using 3768 MB)
@   249s  (total 11 workers using 3816 MB)
@   260s  (total 11 workers using 3838 MB)
@   271s  (total 11 workers using 3861 MB)
@   282s  (total 11 workers using 3928 MB)
@   293s  (total 11 workers using 3955 MB)
