c host: c3n29
c start: Fri Oct 18 20:33:50 CEST 2019
c arrayjobid: 17567256
c jobid: 17567467
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/dspfilters_fastfir_second-p28.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567467.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 12647)
@     0s  (started worker 1 with pid 12648)
@     0s  (started worker 2 with pid 12649)
@     0s  (started worker 3 with pid 12650)
@     0s  (started worker 4 with pid 12651)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 12767)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 432 MB)
@     2s  (started worker 6 with pid 12823)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 590 MB)
@     3s  (started worker 7 with pid 12885)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 734 MB)
@     4s  (started worker 8 with pid 12954)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 927 MB)
@     5s  (started worker 9 with pid 13047)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1080 MB)
@     7s  (started worker 10 with pid 13127)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1242 MB)
@    15s  (total 11 workers using 1794 MB)
@    27s  (total 11 workers using 2156 MB)
@    39s  (total 11 workers using 2312 MB)
@    50s  (total 11 workers using 2497 MB)
@    61s  (total 11 workers using 2571 MB)
@    73s  (total 11 workers using 2678 MB)
@    84s  (total 11 workers using 2793 MB)
@    95s  (total 11 workers using 2827 MB)
@   106s  (total 11 workers using 2871 MB)
@   117s  (total 11 workers using 3007 MB)
@   128s  (total 11 workers using 3039 MB)
@   139s  (total 11 workers using 3155 MB)
@   150s  (total 11 workers using 3211 MB)
@   161s  (total 11 workers using 3309 MB)
@   172s  (total 11 workers using 3325 MB)
@   183s  (total 11 workers using 3451 MB)
@   194s  (total 11 workers using 3641 MB)
@   206s  (total 11 workers using 3725 MB)
@   217s  (total 11 workers using 3928 MB)
@   228s  (total 11 workers using 4069 MB)
@   239s  (total 11 workers using 4139 MB)
@   250s  (total 11 workers using 4342 MB)
@   261s  (total 11 workers using 4406 MB)
@   272s  (total 11 workers using 4463 MB)
@   283s  (total 11 workers using 4487 MB)
@   294s  (total 11 workers using 4499 MB)
