c host: c3n16
c start: Fri Oct 18 19:51:56 CEST 2019
c arrayjobid: 17567256
c jobid: 17567446
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019A/picorv32_mutBX_nomem-p1.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567446.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 1572)
@     0s  (started worker 1 with pid 1573)
@     0s  (started worker 2 with pid 1574)
@     0s  (started worker 3 with pid 1575)
@     0s  (started worker 4 with pid 1576)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 1693)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 527 MB)
@     2s  (started worker 6 with pid 1751)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 819 MB)
@     3s  (started worker 7 with pid 1819)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1150 MB)
@     4s  (started worker 8 with pid 1890)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1362 MB)
@     5s  (started worker 9 with pid 1983)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1558 MB)
@     7s  (started worker 10 with pid 2064)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1743 MB)
@    15s  (total 11 workers using 2285 MB)
@    27s  (total 11 workers using 2569 MB)
@    39s  (total 11 workers using 2668 MB)
@    50s  (total 11 workers using 2619 MB)
@    61s  (total 11 workers using 2675 MB)
@    72s  (total 11 workers using 2786 MB)
@    83s  (total 11 workers using 2787 MB)
@    94s  (total 11 workers using 2913 MB)
@   105s  (total 11 workers using 2933 MB)
@   116s  (total 11 workers using 2972 MB)
@   127s  (total 11 workers using 3032 MB)
@   139s  (total 11 workers using 3108 MB)
@   149s  (total 11 workers using 3164 MB)
@   161s  (total 11 workers using 3198 MB)
@   172s  (total 11 workers using 3254 MB)
@   183s  (total 11 workers using 3395 MB)
@   194s  (total 11 workers using 3399 MB)
@   205s  (total 11 workers using 3545 MB)
@   216s  (total 11 workers using 3596 MB)
@   227s  (total 11 workers using 3609 MB)
@   238s  (total 11 workers using 3575 MB)
@   249s  (total 11 workers using 3639 MB)
@   260s  (total 11 workers using 3704 MB)
@   271s  (total 11 workers using 3753 MB)
@   282s  (total 11 workers using 3786 MB)
@   293s  (total 11 workers using 3899 MB)
