c host: c3n32
c start: Fri Oct 18 20:42:41 CEST 2019
c arrayjobid: 17567256
c jobid: 17567553
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/vgasim_imgfifo-p058.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567553.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 28151)
@     0s  (started worker 1 with pid 28152)
@     0s  (started worker 2 with pid 28153)
@     0s  (started worker 3 with pid 28154)
@     0s  (started worker 4 with pid 28155)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 28271)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 287 MB)
@     2s  (started worker 6 with pid 28325)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 507 MB)
@     3s  (started worker 7 with pid 28387)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 661 MB)
@     4s  (started worker 8 with pid 28455)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 805 MB)
@     5s  (started worker 9 with pid 28547)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 907 MB)
@     6s  (started worker 10 with pid 28627)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 1027 MB)
@    15s  (total 11 workers using 1446 MB)
@    27s  (total 11 workers using 2096 MB)
@    39s  (total 11 workers using 2946 MB)
@    50s  (total 11 workers using 3350 MB)
@    61s  (total 11 workers using 3803 MB)
@    72s  (total 11 workers using 4255 MB)
@    83s  (total 11 workers using 4420 MB)
@    94s  (total 11 workers using 4963 MB)
@   105s  (total 11 workers using 5279 MB)
@   117s  (total 11 workers using 5336 MB)
@   127s  (total 11 workers using 5674 MB)
@   139s  (total 11 workers using 5940 MB)
@   150s  (total 11 workers using 6342 MB)
@   161s  (total 11 workers using 6663 MB)
@   172s  (total 11 workers using 7024 MB)
@   183s  (total 11 workers using 7174 MB)
@   194s  (total 11 workers using 7327 MB)
@   205s  (total 11 workers using 7730 MB)
@   216s  (total 11 workers using 7893 MB)
@   227s  (total 11 workers using 8158 MB)
@   238s  (total 11 workers using 8445 MB)
@   249s  (total 11 workers using 8601 MB)
@   260s  (total 11 workers using 9156 MB)
@   271s  (total 11 workers using 9325 MB)
@   282s  (total 11 workers using 9654 MB)
@   293s  (total 11 workers using 9551 MB)
