c host: c3n26
c start: Fri Oct 18 20:45:09 CEST 2019
c arrayjobid: 17567256
c jobid: 17567557
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019C/vgasim_imgfifo-p039.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567557.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 6261)
@     0s  (started worker 1 with pid 6262)
@     0s  (started worker 2 with pid 6263)
@     0s  (started worker 3 with pid 6264)
@     0s  (started worker 4 with pid 6265)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 6381)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 264 MB)
@     2s  (started worker 6 with pid 6437)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 450 MB)
@     3s  (started worker 7 with pid 6499)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 543 MB)
@     4s  (started worker 8 with pid 6567)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 620 MB)
@     5s  (started worker 9 with pid 6659)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 710 MB)
@     7s  (started worker 10 with pid 6739)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 791 MB)
@    15s  (total 11 workers using 1315 MB)
@    27s  (total 11 workers using 1536 MB)
@    39s  (total 11 workers using 1900 MB)
@    50s  (total 11 workers using 2179 MB)
@    61s  (total 11 workers using 2468 MB)
@    72s  (total 11 workers using 2700 MB)
@    83s  (total 11 workers using 2986 MB)
@    94s  (total 11 workers using 3278 MB)
@   105s  (total 11 workers using 3446 MB)
@   116s  (total 11 workers using 3670 MB)
@   127s  (total 11 workers using 3947 MB)
@   138s  (total 11 workers using 4335 MB)
@   149s  (total 11 workers using 4506 MB)
@   161s  (total 11 workers using 4685 MB)
@   171s  (total 11 workers using 4954 MB)
@   183s  (total 11 workers using 5198 MB)
@   193s  (total 11 workers using 5419 MB)
@   205s  (total 11 workers using 5732 MB)
@   216s  (total 11 workers using 5873 MB)
@   227s  (total 11 workers using 6219 MB)
@   238s  (total 11 workers using 6347 MB)
@   249s  (total 11 workers using 6522 MB)
@   260s  (total 11 workers using 6725 MB)
@   271s  (total 11 workers using 6948 MB)
@   282s  (total 11 workers using 7233 MB)
@   293s  (total 11 workers using 7495 MB)
